f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,class
1.622,1.813,1.267,3.018,2.517,1.231,1.065,-0.980,-3.634,-1.283,1.085,1.644,1.442,3.146,3.973,2.398,NoTouching
1.591,2.602,3.665,2.957,1.218,0.600,0.169,-2.277,-1.607,1.233,1.555,1.334,3.340,2.811,1.718,0.968,NoTouching
0.289,0.294,0.320,0.354,0.352,0.331,0.317,0.282,0.346,0.279,0.288,0.270,0.281,0.289,0.295,0.303,NoTouching
0.350,0.253,0.286,0.331,0.281,0.367,0.287,0.342,0.301,0.316,0.339,0.309,0.335,0.319,0.329,0.339,NoTouching
0.292,0.371,0.398,0.370,0.372,0.349,0.369,0.314,0.287,0.277,0.292,0.319,0.287,0.302,0.298,0.264,NoTouching
0.296,0.321,0.306,0.314,0.311,0.321,0.322,0.323,0.320,0.336,0.272,0.220,0.317,0.283,0.298,0.294,NoTouching
0.296,0.286,0.301,0.291,0.308,0.313,0.319,0.301,0.299,0.302,0.296,0.295,0.295,0.308,0.307,0.322,NoTouching
0.345,0.305,0.308,0.331,0.306,0.357,0.271,0.289,0.318,0.332,0.326,0.331,0.357,0.325,0.346,0.361,NoTouching
0.319,0.317,0.316,0.334,0.325,0.308,0.311,0.295,0.295,0.311,0.301,0.289,0.318,0.296,0.299,0.309,NoTouching
0.310,0.318,0.275,0.276,0.282,0.284,0.288,0.313,0.305,0.307,0.314,0.312,0.318,0.326,0.302,0.303,NoTouching
0.278,0.282,0.299,0.290,0.319,0.297,0.300,0.315,0.305,0.306,0.309,0.308,0.320,0.307,0.307,0.305,NoTouching
0.302,0.295,0.293,0.308,0.323,0.304,0.307,0.303,0.307,0.301,0.300,0.312,0.315,0.314,0.308,0.304,NoTouching
0.394,0.508,0.281,0.151,0.405,0.643,0.567,0.522,0.500,0.603,0.591,0.633,0.695,0.643,0.682,0.714,NoTouching
0.537,0.569,0.598,0.568,0.720,0.693,0.651,0.717,0.718,0.692,0.712,0.716,0.675,0.741,0.744,0.911,NoTouching
0.976,0.926,0.985,0.865,0.686,0.629,0.864,0.746,1.339,1.166,-0.146,0.403,1.131,0.438,0.128,0.119,NoTouching
0.656,0.552,0.737,0.920,0.752,0.767,0.754,0.686,0.695,0.641,0.829,0.729,0.719,0.716,0.734,0.696,NoTouching
0.870,0.841,0.862,0.864,0.853,0.830,0.994,0.931,0.562,0.526,0.762,0.565,0.464,1.064,0.931,0.847,NoTouching
0.792,0.738,0.856,0.852,0.756,0.863,0.878,0.818,0.896,0.740,0.512,0.478,1.011,0.831,0.710,0.883,NoTouching
