f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,class
-0.280,0.244,-0.909,-0.280,0.247,-0.909,-0.265,0.236,-0.922,-0.225,0.244,-0.957,-0.297,0.213,-0.879,-0.347,0.185,-0.875,-0.274,0.269,-0.906,-0.464,0.678,-0.931,-0.792,0.970,-0.753,-0.800,0.557,-0.454,-0.607,0.036,-0.221,-0.615,-0.228,-0.225,-0.776,-0.241,-0.308,-0.925,-0.232,-0.277,-0.923,-0.273,-0.255,-0.922,-0.265,-0.254,NearMiss
-0.278,0.268,-0.905,-0.272,0.268,-0.905,-0.271,0.261,-0.903,-0.276,0.294,-0.897,-0.286,0.341,-0.923,-0.505,0.457,-1.027,-0.782,0.608,-0.868,-0.673,0.435,-0.602,-0.621,0.357,-0.413,-0.656,0.367,-0.246,-0.709,0.231,-0.108,-0.849,0.125,-0.062,-0.990,0.096,0.029,-1.028,0.146,0.078,-0.997,0.259,0.033,-0.948,0.256,0.054,NearMiss
-0.348,0.192,-0.983,-0.507,0.286,-0.812,-0.429,0.334,-0.696,-0.233,0.576,-0.731,-0.293,0.657,-0.754,-0.283,0.654,-0.710,-0.242,0.805,-0.642,-0.407,0.887,-0.745,-0.546,0.683,-0.718,-0.656,0.341,-0.671,-0.693,0.043,-0.598,-0.678,-0.099,-0.579,-0.685,-0.277,-0.568,-0.670,-0.357,-0.554,-0.669,-0.406,-0.542,-0.649,-0.414,-0.526,NearMiss
-0.201,0.133,-1.015,-0.390,0.153,-0.967,-0.407,0.197,-0.771,-0.209,0.483,-0.755,-0.144,0.629,-0.784,-0.268,0.933,-0.690,-0.391,0.919,-0.688,-0.569,0.548,-0.586,-0.636,0.262,-0.407,-0.763,0.092,-0.368,-0.884,0.049,-0.386,-0.949,0.069,-0.352,-0.953,0.041,-0.305,-0.931,0.075,-0.227,-0.939,0.072,-0.160,-1.026,0.072,-0.168,NearMiss
-0.120,-0.152,-1.011,-0.157,-0.125,-1.014,-0.159,-0.029,-1.040,-0.378,0.209,-0.880,-0.798,0.419,-0.492,-1.032,0.446,-0.372,-0.776,0.141,-0.538,-0.645,0.183,-0.430,-0.748,0.363,-0.390,-0.802,0.418,-0.312,-0.802,0.433,-0.363,-0.815,0.288,-0.458,-0.655,-0.293,-0.452,-0.518,-0.029,-0.371,-0.541,0.334,-0.504,-0.541,0.590,-0.775,NearMiss
-0.183,-0.025,-0.974,-0.228,0.003,-1.083,-0.431,0.015,-1.160,-0.612,0.041,-1.051,-0.534,0.146,-0.776,-0.529,0.083,-0.443,-0.599,0.011,-0.268,-0.703,0.081,-0.262,-1.151,0.191,-0.433,-0.868,0.103,-0.459,-0.895,0.085,-0.433,-0.896,-0.030,-0.338,-0.855,-0.105,-0.300,-0.790,0.401,-0.659,-0.798,0.352,-0.604,-0.845,0.172,-0.397,NearMiss
-0.124,-0.293,-0.980,-0.132,-0.210,-1.038,-0.208,-0.146,-1.029,-0.520,0.073,-0.853,-0.906,-0.046,-0.417,-0.778,-0.037,-0.473,-0.703,0.267,-0.590,-0.776,0.276,-0.450,-0.719,0.231,-0.495,-0.625,0.059,-0.549,-0.739,0.205,-0.324,-0.604,0.668,-0.463,-0.384,0.864,-0.784,-0.309,0.567,-0.946,-0.234,0.355,-0.944,-0.233,0.261,-0.927,NearMiss
-0.121,-0.300,-0.939,-0.076,-0.360,-1.007,-0.142,-0.211,-1.226,-0.484,0.388,-1.051,-0.722,0.163,-0.437,-0.693,-0.201,-0.305,-0.752,-0.173,-0.312,-0.811,-0.105,-0.389,-0.893,-0.023,-0.516,-0.879,-0.062,-0.467,-0.901,-0.022,-0.464,-0.845,-0.061,-0.402,-0.872,-0.059,-0.394,-0.926,-0.225,-0.477,-0.825,-0.095,-0.429,-0.842,-0.101,-0.448,NearMiss
-0.106,-0.179,-0.963,-0.098,-0.192,-0.992,-0.105,-0.114,-1.048,-0.221,0.719,-0.875,-0.744,0.882,-0.270,-0.796,0.248,-0.304,-0.727,0.272,-0.323,-0.842,0.324,-0.176,-0.952,0.420,-0.100,-0.992,0.281,-0.155,-0.880,0.352,-0.044,-0.890,0.337,-0.059,-1.031,0.349,-0.180,-0.839,0.330,-0.142,-0.797,0.313,-0.301,-0.772,0.339,-0.441,NearMiss
-0.105,-0.097,-0.995,0.075,-0.057,-1.107,-0.200,-0.093,-0.889,-0.396,-0.041,-0.718,-0.512,0.043,-0.769,-0.376,0.419,-0.903,-0.414,0.769,-0.737,-0.781,0.948,-0.322,-0.922,0.814,-0.260,-0.765,0.304,-0.409,-0.643,0.127,-0.263,-0.814,0.080,-0.143,-0.992,0.085,-0.171,-0.963,0.065,-0.144,-0.986,0.065,-0.116,-0.988,0.047,-0.107,NearMiss
-0.102,-0.160,-0.967,-0.087,-0.184,-0.976,-0.070,-0.187,-1.061,-0.270,-0.053,-1.240,-0.589,0.117,-1.192,-0.650,0.247,-0.770,-0.710,0.149,-0.341,-0.818,0.177,-0.276,-0.818,0.132,-0.160,-0.835,0.091,-0.107,-0.887,0.052,-0.150,-0.917,0.038,-0.166,-0.955,0.039,-0.193,-0.929,0.023,-0.252,-0.869,0.018,-0.256,-0.908,0.021,-0.272,NearMiss
-0.095,-0.052,-0.982,-0.003,-0.049,-1.142,0.046,-0.454,-1.266,-0.556,0.084,-0.691,-0.370,0.297,-0.512,-0.163,0.308,-0.878,-0.195,0.086,-1.006,-0.180,0.015,-1.030,-0.078,0.085,-0.978,0.040,0.359,-1.140,-0.539,0.676,-0.554,-0.906,0.592,-0.134,-0.601,0.532,-0.573,-0.610,0.470,-0.583,-0.732,0.376,-0.523,-0.833,0.373,-0.196,NearMiss
-0.113,0.028,-0.988,0.006,0.103,-1.123,0.010,-0.087,-0.851,-0.441,0.126,-0.815,-0.461,0.016,-0.873,-0.175,0.352,-1.060,-0.422,0.743,-0.849,-0.871,0.850,-0.401,-0.814,0.506,-0.294,-0.700,0.140,-0.322,-0.702,-0.017,-0.443,-0.879,0.014,-0.392,-0.918,0.004,-0.206,-0.946,-0.039,-0.230,-0.930,-0.019,-0.225,-0.926,-0.065,-0.236,NearMiss
