Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureNumAttributesSelected,measureSelectionTime,measureTime,measureOutOfBagError
m_04081713,5,1,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-1151805453487947577,2.0200409030100003E7,432.0,49.0,46.0,3.0,0.0,93.87755102040816,6.122448979591836,0.0,0.8778054862842892,0.14306122448979589,0.26616321523241554,28.938837629601466,53.50998389009028,48.63394349167277,17.602819010569934,31.031124481102832,0.9925294590137299,0.35924120429734563,0.6332882547163843,35.610105742364844,0.7267368518849968,73.22068330416614,0.8888888888888888,24.0,0.0,0.0,1.0,22.0,0.1111111111111111,3.0,1.0,0.8888888888888888,0.9411764705882353,0.8844332774281065,0.9696969696969697,0.9798893916540975,0.9387755102040817,0.04988662131519274,0.9501133786848073,0.061224489795918366,0.9461224489795919,0.9387755102040817,0.9389287629945595,0.8844332774281066,0.9696969696969697,0.9670594217580518,0.9386733416770964,0.9387755102040817,0.136,0.001,0.082705,0.001148,82.705,1.148,351476.0,146585.0,19046.0,97.95918367346938,69.38775510204081,?,10.0,18.0,136.0,-1.0
m_04081713,5,2,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-1151805453487947577,2.0200409030100003E7,433.0,48.0,44.0,4.0,0.0,91.66666666666667,8.333333333333334,0.0,0.8324607329842931,0.14229166666666662,0.24695225584445807,28.84794640256336,49.773629139248264,47.46765459119369,13.918253405905272,33.54940118528842,0.9889094706498686,0.2899636126230265,0.6989458580268421,34.89224442007893,0.7269217587516444,73.50741198523893,0.8888888888888888,24.0,0.047619047619047616,1.0,0.9523809523809523,20.0,0.1111111111111111,3.0,0.96,0.8888888888888888,0.923076923076923,0.8353970306134466,0.9814814814814815,0.9859323525559156,0.9166666666666666,0.07539682539682539,0.9246031746031745,0.08333333333333333,0.9204347826086957,0.9166666666666666,0.9169580419580418,0.8353970306134467,0.9814814814814815,0.9819485730427484,0.916083916083916,0.9166666666666666,0.059,0.001,0.057948,9.8E-4,57.948,0.98,368160.0,146918.0,18713.0,100.0,76.04166666666667,?,8.0,5.0,59.0,-1.0
m_04081713,5,3,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-1151805453487947577,2.0200409030100003E7,433.0,48.0,47.0,1.0,0.0,97.91666666666667,2.0833333333333335,0.0,0.9578947368421051,0.07062499999999998,0.13950059737028606,14.31838042528401,28.11657247053258,47.46765459119369,5.820826961543768,41.64682762964993,0.9889094706498686,0.12126722836549518,0.8676422422843735,41.639149547923815,0.8674822822484128,87.72110167762283,0.9629629629629629,26.0,0.0,0.0,1.0,21.0,0.037037037037037035,1.0,1.0,0.9629629629629629,0.9811320754716981,0.9587449708822046,1.0,1.0,0.9791666666666666,0.016203703703703703,0.9837962962962963,0.020833333333333332,0.9801136363636364,0.9791666666666666,0.979212373848179,0.9587449708822046,1.0,1.0,0.978938130759105,0.9791666666666666,0.06,0.001,0.058283,8.37E-4,58.283,0.837,380825.0,146918.0,18713.0,100.0,65.625,?,9.0,5.0,60.0,-1.0
m_04081713,5,4,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-1151805453487947577,2.0200409030100003E7,433.0,48.0,41.0,7.0,0.0,85.41666666666667,14.583333333333334,0.0,0.702127659574468,0.17666666666666664,0.30215200368909245,35.81706961840956,60.89922816811215,47.46765459119369,21.751537424864846,25.716117166328846,0.9889094706498686,0.4531570296846843,0.5357524409651843,31.32251170985537,0.6525523272886535,65.98706420111685,0.8888888888888888,24.0,0.19047619047619047,4.0,0.8095238095238095,17.0,0.1111111111111111,3.0,0.8571428571428571,0.8888888888888888,0.8727272727272727,0.7027642214999339,0.9294532627865961,0.9426441918500056,0.8541666666666666,0.15575396825396823,0.8442460317460316,0.14583333333333334,0.854017857142857,0.8541666666666666,0.8537139689578715,0.7027642214999338,0.9294532627865961,0.9283732419611441,0.8509977827050998,0.8541666666666666,0.064,0.001,0.057324,0.001355,57.324,1.355,335489.0,146918.0,18713.0,95.83333333333333,76.04166666666667,?,10.0,5.0,64.0,-1.0
m_04081713,5,5,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-1151805453487947577,2.0200409030100003E7,433.0,48.0,46.0,2.0,0.0,95.83333333333333,4.166666666666667,0.0,0.9153439153439155,0.12416666666666666,0.21821243472054166,25.173317797844458,43.98107141079757,47.46765459119369,11.627168883822483,35.84048570737121,0.9889094706498686,0.24223268507963505,0.7466767855702335,36.75039924975211,0.7656333177031689,77.42198254002237,0.9629629629629629,26.0,0.047619047619047616,1.0,0.9523809523809523,20.0,0.037037037037037035,1.0,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9153439153439153,0.9894179894179894,0.9924247839421078,0.9583333333333334,0.04298941798941799,0.957010582010582,0.041666666666666664,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9153439153439153,0.9894179894179894,0.9900045529139686,0.9576719576719577,0.9583333333333334,0.059,0.001,0.058292000000000004,9.48E-4,58.292,0.948,360435.0,146918.0,18713.0,100.0,73.95833333333333,?,10.0,4.0,59.0,-1.0
m_04081713,5,6,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-1151805453487947577,2.0200409030100003E7,433.0,48.0,46.0,2.0,0.0,95.83333333333333,4.166666666666667,0.0,0.9162303664921467,0.11124999999999996,0.20932430978428354,22.554616953102244,42.18965536234788,47.46765459119369,12.507617759929635,34.960036831264055,0.9889094706498686,0.2605753699985341,0.7283341006513345,38.049917700649594,0.7927066187635332,80.15967510581132,0.9259259259259259,25.0,0.0,0.0,1.0,21.0,0.07407407407407407,2.0,1.0,0.9259259259259259,0.9615384615384615,0.919462140612284,0.9814814814814815,0.9892787524366472,0.9583333333333334,0.032407407407407406,0.9675925925925926,0.041666666666666664,0.9619565217391304,0.9583333333333334,0.9584790209790208,0.9194621406122842,0.9814814814814815,0.9801463552285922,0.9580419580419579,0.9583333333333334,0.06,0.001,0.058688000000000004,0.001111,58.688,1.111,361295.0,146918.0,18713.0,97.91666666666667,70.83333333333333,?,9.0,4.0,60.0,-1.0
m_04081713,5,7,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-1151805453487947577,2.0200409030100003E7,433.0,48.0,45.0,3.0,0.0,93.75,6.25,0.0,0.8736842105263157,0.1295833333333333,0.2563201123595259,26.27148266822022,51.66173586828481,47.46765459119369,15.89463675809393,31.57301783309976,0.9889094706498686,0.33113826579362354,0.6577712048562451,35.97641872265241,0.7495087233885919,75.79143952338197,0.9259259259259259,25.0,0.047619047619047616,1.0,0.9523809523809523,20.0,0.07407407407407407,2.0,0.9615384615384616,0.9259259259259259,0.9433962264150944,0.874459698716736,0.9620811287477954,0.9692532218936997,0.9375,0.059193121693121686,0.9408068783068781,0.0625,0.9385926573426574,0.9375,0.937637121544537,0.8744596987167359,0.9620811287477954,0.9640939102023408,0.9368143922773147,0.9375,0.066,0.001,0.061148,6.9E-4,61.148,0.69,353617.0,146918.0,18713.0,97.91666666666667,70.83333333333333,?,10.0,6.0,66.0,-1.0
m_04081713,5,8,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-1151805453487947577,2.0200409030100003E7,433.0,48.0,47.0,1.0,0.0,97.91666666666667,2.0833333333333335,0.0,0.9578947368421051,0.09979166666666665,0.19517620244281833,20.147456971572208,39.15455684058157,47.7893373662951,10.70669374135751,37.08264362493759,0.9956111951311479,0.22305611961161478,0.7725550755195331,39.46014939433926,0.8220864457154012,82.57103272197648,1.0,26.0,0.045454545454545456,1.0,0.9545454545454546,21.0,0.0,0.0,0.9629629629629629,1.0,0.9811320754716981,0.9587449708822046,0.9851398601398601,0.9848106087064896,0.9791666666666666,0.024621212121212124,0.975378787878788,0.020833333333333332,0.9799382716049383,0.9791666666666666,0.9791209594851544,0.9587449708822046,0.9851398601398601,0.9857240259525742,0.978938130759105,0.9791666666666666,0.057,0.001,0.051142,0.001009,51.142,1.009,380575.0,146918.0,18713.0,97.91666666666667,67.70833333333333,?,7.0,6.0,56.0,-1.0
m_04081713,5,9,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-1151805453487947577,2.0200409030100003E7,433.0,48.0,45.0,3.0,0.0,93.75,6.25,0.0,0.8736842105263157,0.13479166666666664,0.25146653190169593,27.213788435505673,50.44703449301673,47.7893373662951,16.26401024120974,31.52532712508536,0.9956111951311479,0.33883354669186955,0.6567776484392783,35.96414619923906,0.7492530458174804,75.25558666692014,0.9615384615384616,25.0,0.09090909090909091,2.0,0.9090909090909091,20.0,0.038461538461538464,1.0,0.9259259259259259,0.9615384615384616,0.9433962264150944,0.874459698716736,0.9729020979020979,0.9707983018500532,0.9375,0.06687062937062938,0.9331293706293705,0.0625,0.9380511463844797,0.9375,0.937362878455463,0.874459698716736,0.9729020979020979,0.971462408833578,0.9368143922773147,0.9375,0.067,0.002,0.064793,0.0015069999999999999,64.793,1.507,345608.0,146918.0,18713.0,97.91666666666667,70.83333333333333,?,10.0,5.0,67.0,-1.0
m_04081713,5,10,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-1151805453487947577,2.0200409030100003E7,433.0,48.0,46.0,2.0,0.0,95.83333333333333,4.166666666666667,0.0,0.915492957746479,0.11125,0.1832575600987128,22.460839296074237,36.76354219184864,47.7893373662951,9.544323962705025,38.24501340359008,0.9956111951311479,0.19884008255635469,0.7967711125747933,38.48067652768502,0.8016807609934379,80.52146911504302,1.0,26.0,0.09090909090909091,2.0,0.9090909090909091,20.0,0.0,0.0,0.9285714285714286,1.0,0.962962962962963,0.9187795405622854,1.0,1.0,0.9583333333333334,0.04924242424242425,0.9507575757575758,0.041666666666666664,0.9613095238095237,0.9583333333333334,0.9581128747795414,0.9187795405622854,1.0,1.0,0.9576719576719577,0.9583333333333334,0.062,0.002,0.059671999999999996,0.001591,59.672,1.591,370702.0,146918.0,18713.0,100.0,77.08333333333333,?,10.0,5.0,62.0,-1.0
