-0.101,0.307,-0.930,-0.100,0.323,-0.936,-0.036,0.455,-0.966,-0.275,0.412,-1.058,-0.477,0.113,-0.795,-0.592,-0.183,-0.594,-0.693,-0.342,-0.563,-0.737,-0.451,-0.512,-0.735,-0.460,-0.415,-0.722,-0.457,-0.379,NoTouching
-0.093,0.286,-0.939,-0.086,0.289,-0.933,-0.086,0.392,-0.933,-0.119,0.470,-1.068,-0.406,0.251,-0.960,-0.563,-0.113,-0.642,-0.670,-0.299,-0.551,-0.713,-0.437,-0.467,-0.726,-0.465,-0.397,-0.738,-0.457,-0.351,NoTouching
-0.066,-0.079,-0.990,-0.120,-0.093,-1.069,-0.478,-0.242,-1.284,-0.726,-0.319,-1.128,-0.578,-0.220,-0.905,-0.509,-0.319,-0.374,-0.419,-0.414,-0.072,-0.422,-0.582,-0.200,-0.564,-0.720,-0.192,-0.455,-0.805,-0.309,NoTouching
-0.152,0.029,-0.995,-0.145,0.104,-0.949,-0.165,0.143,-0.936,-0.160,0.358,-0.985,-0.649,0.422,-1.445,-0.816,0.147,-1.069,-0.585,-0.033,-0.644,-0.480,-0.247,-0.294,-0.348,-0.399,-0.280,-0.390,-0.360,-0.496,NoTouching
-0.134,-0.107,-0.970,-0.132,-0.103,-0.971,-0.139,-0.125,-1.023,-0.423,0.039,-1.441,-0.868,-0.119,-0.951,-0.645,-0.218,-0.621,-0.718,-0.324,-0.435,-0.539,-0.285,-0.256,-0.343,-0.364,-0.483,-0.639,-0.373,-0.454,NoTouching
0.472,0.670,-0.566,0.477,0.658,-0.576,0.709,0.808,-0.728,0.225,0.530,-1.463,-0.456,-0.009,-1.192,-0.445,0.048,-0.346,-0.171,0.646,-0.136,-0.606,-1.297,0.132,-0.622,0.218,0.035,-0.295,0.327,-0.213,NoTouching
0.477,0.313,-0.814,0.506,0.321,-0.826,0.571,0.415,-1.523,-0.332,-0.023,-1.424,-0.663,0.033,-0.616,-0.135,-0.063,-0.152,-0.625,0.027,-0.367,-0.792,-0.071,-0.564,-0.645,0.048,-0.609,-0.414,0.021,-0.386,NoTouching
0.455,0.100,-0.918,0.422,0.389,-1.315,-0.291,-0.002,-0.853,-0.003,0.295,-0.559,-0.268,0.438,-0.867,-0.425,0.436,-0.959,-0.763,0.923,-1.280,-0.739,0.472,-0.804,-0.645,-0.082,-0.303,-0.452,-0.192,-0.146,NoTouching
-0.129,-0.043,-0.975,-0.124,-0.045,-0.990,-0.278,-0.034,-1.413,-0.795,-0.293,-1.064,-0.756,-0.194,-0.636,-0.705,-0.419,-0.416,-0.565,-0.303,-0.201,-0.357,-0.379,-0.311,-0.611,-0.554,-0.400,-0.661,-0.580,-0.410,NoTouching
-0.250,-0.031,-0.950,-0.259,-0.027,-0.949,-0.254,-0.026,-0.949,-0.256,-0.030,-0.950,-0.244,-0.047,-0.963,-0.195,0.077,-1.090,-0.724,0.099,-1.287,-0.863,0.064,-0.920,-0.789,-0.196,-0.588,-0.717,-0.291,-0.313,NoTouching
