f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,class
0.208,0.207,0.204,0.808,0.705,0.527,0.151,-0.059,-0.168,-0.167,-0.051,-0.040,-0.135,-0.064,0.280,0.367,NearMiss
0.210,0.203,0.316,0.711,0.636,0.535,0.365,0.310,0.390,0.392,0.180,0.301,0.241,0.196,0.181,0.142,NearMiss
0.210,0.223,0.243,0.375,0.568,0.849,0.605,0.467,0.387,0.443,0.458,0.409,0.445,0.389,0.455,0.484,NearMiss
0.473,0.494,0.555,0.722,0.720,0.566,0.358,0.185,0.019,-0.088,-0.195,-0.130,-0.163,-0.101,-0.129,-0.179,NearMiss
0.007,0.033,-0.007,0.249,0.759,0.533,0.052,-0.251,-0.330,-0.261,-0.332,-0.249,-0.253,-0.394,-0.294,-0.283,NearMiss
0.368,0.454,0.626,0.646,0.542,0.339,0.091,-0.026,-0.099,-0.154,-0.158,-0.198,-0.198,-0.223,-0.223,-0.215,NearMiss
0.082,0.143,0.522,1.087,0.803,0.479,0.339,0.462,0.404,0.418,0.407,0.400,0.476,0.384,0.437,0.419,NearMiss
0.204,0.245,0.308,0.482,0.635,0.655,0.484,0.315,0.356,0.453,0.420,0.419,0.447,0.453,0.516,0.484,NearMiss
0.082,0.104,0.155,0.763,0.969,0.541,0.027,-0.189,-0.255,-0.226,-0.219,-0.179,-0.179,-0.164,-0.191,-0.195,NearMiss
0.143,0.166,0.164,0.278,0.592,0.546,0.335,0.319,0.224,0.197,0.458,0.583,0.673,0.585,0.620,0.653,NearMiss
0.245,0.273,0.318,0.586,0.864,0.738,0.499,0.356,0.361,0.319,0.279,0.269,0.330,0.298,0.301,0.287,NearMiss
0.443,0.484,0.572,0.685,0.689,0.499,0.294,0.113,-0.010,-0.090,-0.156,-0.233,-0.251,-0.243,-0.279,-0.307,NearMiss
0.032,0.070,0.127,0.594,0.698,0.301,0.163,0.202,0.281,0.323,0.248,0.267,0.182,0.156,-0.016,0.253,NearMiss
0.413,0.449,0.510,0.703,0.672,0.473,0.172,-0.000,-0.117,-0.169,-0.150,-0.165,-0.165,-0.171,-0.183,-0.198,NearMiss
0.400,0.410,0.435,0.607,0.652,0.571,0.426,0.227,0.106,0.084,0.056,0.089,0.052,0.046,0.005,-0.002,NearMiss
0.165,0.176,0.193,0.242,0.514,0.822,0.673,0.431,0.198,0.091,0.179,0.234,0.231,0.180,0.159,0.169,NearMiss
0.226,0.148,0.264,0.306,0.814,0.969,0.928,1.025,1.018,0.744,0.375,0.156,0.002,-0.084,-0.170,-0.191,NearMiss
0.157,0.140,0.154,0.154,0.119,0.054,0.263,0.485,0.665,0.917,1.024,0.855,0.766,0.344,0.127,0.119,NearMiss
0.212,0.321,0.708,0.883,0.615,0.414,0.600,0.294,0.329,0.358,0.302,0.169,0.115,0.639,0.190,0.224,NearMiss
0.443,0.436,0.494,0.772,1.025,0.908,0.518,0.178,-0.142,-0.236,-0.266,-0.272,-0.294,-0.295,-0.301,-0.311,NearMiss
0.331,0.326,0.314,0.446,0.806,0.927,0.764,0.521,0.027,-0.091,0.103,0.145,0.128,0.197,0.225,0.211,NearMiss
0.399,0.410,0.493,0.850,0.874,0.569,0.258,0.070,0.123,0.119,0.092,0.007,0.034,0.033,0.021,0.214,NearMiss
0.302,0.297,0.278,0.321,0.563,0.758,0.639,0.324,-0.015,-0.016,0.168,0.832,0.473,0.047,0.702,0.443,NearMiss
0.451,0.476,0.492,0.569,0.704,1.002,0.903,0.590,0.202,-0.093,-0.231,-0.286,-0.312,-0.320,-0.365,-0.354,NearMiss
0.224,0.253,0.437,0.680,0.825,0.629,0.462,0.424,0.448,0.437,0.388,0.467,0.422,0.441,0.474,0.453,NearMiss
0.279,0.265,0.311,0.540,0.786,0.647,0.309,0.377,0.327,0.208,0.167,0.218,0.110,0.051,0.009,0.020,NearMiss
0.380,0.546,1.055,0.892,0.582,0.506,0.566,0.542,0.427,0.539,0.249,0.297,0.489,0.405,0.472,0.510,NearMiss
