f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,class
0.864,0.631,1.301,1.093,1.798,1.500,1.049,1.759,1.671,1.374,0.993,1.146,0.600,1.560,1.443,0.636,NoTouching
1.643,0.367,0.345,1.231,1.082,1.010,0.898,1.226,1.547,2.387,1.920,2.072,2.057,1.595,2.435,3.417,NoTouching
2.452,1.923,2.286,1.655,1.672,2.726,2.842,0.968,0.597,2.384,3.804,1.267,1.838,2.263,1.663,1.896,NoTouching
2.793,1.517,2.246,2.321,1.730,2.326,2.811,1.199,0.045,1.619,2.902,1.545,2.482,2.163,2.015,2.020,NoTouching
2.652,1.683,1.767,2.280,1.771,1.773,2.044,1.672,0.643,0.787,2.354,2.328,0.994,1.545,1.921,1.548,NoTouching
2.527,1.683,0.488,1.222,1.879,1.265,1.057,1.079,1.103,1.307,2.475,2.667,1.575,0.957,2.074,1.948,NoTouching
2.013,1.729,1.688,2.708,1.675,1.343,0.906,1.052,0.908,2.954,2.395,0.808,1.891,2.765,2.137,1.811,NoTouching
0.750,0.756,0.735,0.731,0.691,0.723,0.715,0.729,0.751,0.740,0.745,0.743,0.741,0.750,0.746,0.739,NoTouching
0.659,0.648,0.722,0.749,0.689,0.740,0.728,0.699,0.725,0.731,0.721,0.727,0.718,0.727,0.729,0.732,NoTouching
0.742,0.711,0.703,0.709,0.668,0.657,0.625,0.640,0.584,0.588,0.620,0.599,0.662,0.661,0.670,0.666,NoTouching
0.694,0.678,0.689,0.685,0.683,0.680,0.680,0.680,0.681,0.668,0.715,0.651,0.725,0.667,0.713,0.676,NoTouching
0.703,0.687,0.729,0.702,0.700,0.698,0.693,0.683,0.718,0.681,0.692,0.734,0.673,0.715,0.698,0.670,NoTouching
0.620,0.629,0.675,0.695,0.651,0.635,0.680,0.681,0.637,0.636,0.609,0.625,0.671,0.657,0.670,0.673,NoTouching
0.647,0.625,0.640,0.615,0.642,0.673,0.662,0.638,0.648,0.656,0.634,0.619,0.670,0.623,0.645,0.650,NoTouching
0.632,0.600,0.663,0.633,0.644,0.634,0.611,0.655,0.660,0.640,0.650,0.641,0.637,0.630,0.608,0.676,NoTouching
0.687,0.634,0.649,0.630,0.662,0.665,0.654,0.632,0.634,0.681,0.654,0.621,0.649,0.609,0.658,0.630,NoTouching
0.669,0.652,0.650,0.642,0.659,0.637,0.647,0.647,0.652,0.644,0.647,0.636,0.644,0.650,0.649,0.652,NoTouching
-0.355,-0.409,-0.569,-0.681,-0.265,0.125,-0.121,-0.138,-0.181,-0.160,-0.142,-0.180,-0.234,-0.221,-0.229,-0.261,NoTouching
-0.288,-0.237,-0.185,-0.213,-0.210,-0.218,-0.136,-0.098,-0.174,-0.162,-0.110,-0.142,-0.208,-0.217,0.027,0.335,NoTouching
0.322,0.039,-0.202,-0.199,0.099,0.226,0.001,-0.164,-0.296,-0.263,-0.222,-0.376,-0.372,-0.338,-0.371,-0.295,NoTouching
-0.252,-0.280,-0.106,-0.068,-0.111,-0.093,-0.066,-0.054,-0.022,0.109,0.268,0.308,0.216,0.226,0.298,0.317,NoTouching
-0.060,-0.075,-0.104,-0.101,-0.092,-0.090,-0.092,-0.254,-0.419,-0.486,-0.563,-0.589,-0.453,-0.335,-0.379,-0.385,NoTouching
-0.042,-0.049,-0.048,-0.008,-0.016,-0.067,-0.090,-0.112,-0.209,-0.322,-0.391,-0.389,-0.195,-0.301,-0.317,-0.310,NoTouching
-0.090,-0.090,-0.051,-0.070,-0.118,-0.142,-0.157,-0.170,-0.339,-0.369,-0.481,-0.537,-0.555,-0.555,-0.424,-0.187,NoTouching
0.002,-0.005,-0.097,-0.070,-0.094,-0.019,0.054,-0.070,-0.126,-0.268,-0.341,-0.446,-0.386,-0.162,-0.117,-0.210,NoTouching
-0.133,-0.169,-0.162,-0.152,-0.158,-0.187,-0.208,-0.281,-0.334,-0.197,-0.277,-0.240,-0.148,-0.078,-0.088,-0.063,NoTouching
-0.215,-0.151,0.120,0.009,-0.043,-0.073,-0.036,-0.001,-0.081,-0.125,-0.158,-0.145,-0.077,-0.029,-0.091,-0.120,NoTouching
0.775,0.300,0.562,0.518,0.301,0.530,0.016,0.845,-0.024,0.967,-0.122,0.811,0.352,0.204,0.819,0.266,NoTouching
0.598,0.698,-0.074,0.856,0.536,0.271,0.722,0.130,0.451,0.782,-0.012,0.920,0.137,0.572,0.729,-0.171,NoTouching
0.841,-0.159,0.930,0.014,0.686,0.585,0.449,0.703,0.456,0.614,0.606,0.687,0.703,0.549,0.824,0.527,NoTouching
0.230,0.515,0.007,0.531,0.054,0.702,0.490,-0.031,0.998,-0.090,0.635,0.428,-0.049,0.861,0.187,0.409,NoTouching
0.496,0.487,-0.021,0.828,0.138,0.179,0.971,0.003,0.118,0.722,-0.166,0.253,0.677,0.025,0.254,0.138,NoTouching
0.669,0.189,0.112,0.659,0.740,0.254,0.591,0.299,0.020,0.802,-0.034,0.420,0.742,0.074,0.162,1.051,NoTouching
-0.066,0.900,0.087,0.351,0.773,-0.106,0.731,0.460,0.033,0.818,0.123,0.432,0.698,0.071,0.778,0.584,NoTouching
0.913,0.066,0.443,0.572,0.022,0.859,0.074,0.408,0.633,0.253,0.313,0.385,0.349,0.372,0.328,0.442,NoTouching
0.216,-0.117,1.055,-0.163,0.677,0.209,0.130,0.877,-0.079,0.880,0.042,0.617,0.588,-0.117,0.612,0.381,NoTouching
0.715,0.472,0.381,0.392,0.110,0.890,-0.094,0.636,0.380,-0.026,0.850,0.033,0.202,0.825,-0.208,0.017,NoTouching
