f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,class
-0.925,-0.928,-0.927,-0.949,-1.041,-1.254,-0.773,-0.555,-0.428,-0.347,-0.117,-0.511,-0.395,-0.382,-0.322,-0.393,NearMiss
-0.925,-0.921,-1.041,-1.416,-1.216,-0.604,-0.235,-0.203,-0.262,-0.439,-0.425,-0.399,-0.371,-0.403,-0.454,-0.357,NearMiss
-0.922,-0.917,-0.918,-0.933,-0.988,-0.984,-0.669,-0.511,-0.450,-0.290,-0.438,-0.410,-0.394,-0.351,-0.398,-0.434,NearMiss
-0.926,-0.930,-1.128,-1.348,-0.744,-0.108,0.095,0.074,0.111,0.184,0.214,0.180,0.135,0.132,0.153,-0.073,NearMiss
-0.918,-0.925,-1.044,-1.206,-0.719,-0.639,-0.613,-0.441,-0.267,-0.250,-0.333,-0.291,-0.278,-0.164,-0.131,-0.140,NearMiss
-0.963,-0.960,-1.000,-1.078,-1.029,-0.606,-0.206,-0.173,-0.163,-0.164,-0.114,-0.132,-0.048,-0.062,-0.031,-0.067,NearMiss
-0.841,-0.857,-0.921,-1.008,-0.965,-0.844,-0.623,-0.518,-0.457,-0.447,-0.429,-0.469,-0.554,-0.506,-0.441,-0.356,NearMiss
-0.939,-0.957,-0.991,-1.355,-1.429,-0.760,-0.173,-0.041,-0.150,-0.309,-0.286,-0.330,-0.316,-0.078,-0.394,-0.102,NearMiss
-0.926,-0.973,-1.037,-1.038,-0.891,-0.610,-0.435,-0.427,-0.445,-0.438,-0.424,-0.358,-0.346,-0.326,-0.318,-0.309,NearMiss
-0.948,-1.048,-1.163,-0.936,-0.295,-0.172,-0.246,-0.285,-0.236,-0.200,-0.170,-0.225,-0.267,-0.419,-0.268,-0.334,NearMiss
-0.979,-0.999,-1.082,-1.119,-0.719,-0.214,-0.068,-0.108,-0.062,-0.018,-0.037,-0.009,0.057,0.012,-0.092,-0.105,NearMiss
-0.939,-0.958,-0.993,-1.169,-1.002,-0.532,-0.268,-0.126,-0.127,-0.178,-0.200,-0.184,-0.215,-0.172,-0.159,-0.135,NearMiss
-0.948,-0.949,-0.970,-1.113,-1.217,-1.035,-0.585,-0.200,-0.085,-0.201,-0.373,-0.637,-0.688,-0.594,-0.501,-0.477,NearMiss
-0.968,-0.942,-1.033,-1.080,-0.749,-0.207,-0.028,-0.065,-0.136,-0.107,-0.088,-0.090,-0.058,-0.060,-0.053,0.006,NearMiss
-0.869,-0.886,-0.949,-1.026,-1.009,-0.782,-0.603,-0.485,-0.442,-0.413,-0.426,-0.393,-0.364,-0.332,-0.300,-0.290,NearMiss
