f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,class
-0.209,-0.088,0.008,-0.200,-0.552,-0.426,-0.340,-0.329,-0.218,-0.318,-0.548,-0.744,-0.808,-0.735,-0.749,-0.788,-0.859,-0.860,-0.993,0.432,0.990,1.018,1.075,0.991,0.936,0.923,1.051,45.252,0.298,0.271,0.909,0.190,0.233,0.225,4.000,0.657,2.262,NoTouching
-0.091,-0.042,0.008,-0.018,-0.494,-0.813,-0.708,-0.613,-0.627,-0.720,-0.831,-0.874,-1.047,-1.006,-0.955,-0.938,-0.919,-0.918,-0.916,0.208,0.992,1.011,1.105,1.346,1.269,1.092,0.813,15.283,0.101,0.163,1.619,0.147,0.137,0.134,5.000,-0.591,2.271,NoTouching
-0.246,-0.244,-0.208,-0.404,-0.553,-0.446,-0.304,-0.239,-0.316,-0.405,-0.520,-0.622,-0.653,-0.672,-0.673,-0.691,-0.733,-0.764,-0.799,-0.801,0.981,0.994,1.066,0.947,0.957,0.998,0.976,45.278,0.296,0.408,1.377,0.174,0.368,0.362,8.000,0.295,1.629,NoTouching
-0.144,-0.152,-0.157,-0.150,-0.164,-0.105,-0.456,-0.542,-0.572,-0.572,-0.631,-0.692,-0.764,-0.796,-0.789,-0.779,-0.795,-0.818,-0.831,0.192,0.985,0.981,0.982,0.983,0.986,1.110,1.325,16.678,0.110,0.094,0.854,0.114,0.061,0.061,6.000,3.076,24.535,NoTouching
-0.265,-0.272,-0.266,-0.228,-0.433,-0.788,-0.876,-0.719,-0.619,-0.758,-0.938,-0.939,-0.928,-0.996,-0.894,-0.746,-0.785,-0.705,-0.741,0.737,1.001,0.986,0.986,1.045,1.150,1.186,1.111,56.045,0.369,0.187,0.508,0.358,0.141,0.140,0.000,0.207,2.731,NoTouching
-0.269,-0.278,-0.264,-0.278,-0.428,-0.616,-0.792,-0.869,-0.748,-0.733,-0.826,-0.895,-0.933,-0.942,-0.872,-0.824,-0.777,-0.845,-0.827,0.395,1.001,0.986,0.979,1.034,1.133,1.153,1.153,-4.301,-0.028,0.312,-11.038,-0.046,0.281,0.281,1.000,0.363,1.757,NoTouching
-0.459,-0.452,-0.460,-0.465,-0.484,-0.610,-0.706,-0.769,-0.796,-0.797,-0.827,-0.865,-0.942,-0.976,-0.996,-0.975,-0.958,-0.944,-0.930,0.680,1.008,0.990,0.993,1.034,1.029,1.083,1.091,46.515,0.306,0.303,0.989,0.225,0.284,0.281,3.000,0.087,1.297,NoTouching
-0.126,-0.131,-0.073,-0.004,-0.532,-0.755,-0.743,-0.640,-0.644,-0.768,-0.846,-0.936,-0.926,-0.879,-0.886,-0.889,-0.892,-0.919,-0.851,0.452,0.979,0.980,1.015,1.253,1.452,1.245,0.828,-12.086,-0.080,0.229,-2.855,-0.183,0.181,0.166,7.000,1.282,3.776,NoTouching
-0.201,-0.202,-0.194,-0.185,-0.175,-0.188,-0.218,-0.547,-0.717,-0.720,-0.713,-0.735,-0.750,-0.856,-0.899,-0.916,-0.956,-0.943,-0.935,0.332,0.986,0.988,0.982,0.978,0.986,1.001,1.181,17.070,0.112,0.314,2.799,0.225,0.279,0.275,1.000,0.454,2.130,NoTouching
-0.017,-0.018,0.025,0.017,-0.300,-0.708,-0.840,-0.779,-0.719,-0.787,-0.916,-0.963,-0.971,-0.960,-0.969,-0.991,-0.960,-0.968,-0.968,0.473,0.966,0.963,1.066,1.128,1.112,1.202,1.037,-2.794,-0.018,0.183,-9.951,-0.050,0.127,0.117,6.000,1.407,4.378,NoTouching
