f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,class
0.762,0.946,0.829,1.159,1.362,0.889,0.859,0.171,2.089,0.776,0.014,0.846,1.038,2.196,2.465,1.738,NoTouching
0.525,1.379,1.784,3.437,2.616,0.826,0.431,0.844,1.497,0.341,0.787,1.362,1.034,1.519,2.009,1.747,NoTouching
0.666,-0.348,-0.493,0.722,0.724,0.259,0.036,1.185,0.540,0.728,1.026,0.779,1.474,1.653,0.945,0.799,NoTouching
-0.590,-0.605,-0.608,-0.528,-0.641,-0.621,-0.636,-0.575,-0.580,-0.617,-0.600,-0.607,-0.603,-0.594,-0.597,-0.607,NoTouching
-0.651,-0.602,-0.539,-0.681,-0.685,-0.575,-0.628,-0.659,-0.576,-0.620,-0.589,-0.617,-0.615,-0.606,-0.596,-0.599,NoTouching
-0.600,-0.625,-0.601,-0.621,-0.645,-0.700,-0.737,-0.784,-0.723,-0.664,-0.735,-0.698,-0.712,-0.714,-0.723,-0.715,NoTouching
-0.657,-0.670,-0.657,-0.661,-0.659,-0.663,-0.661,-0.668,-0.664,-0.755,-0.608,-0.561,-0.747,-0.665,-0.656,-0.709,NoTouching
-0.679,-0.646,-0.600,-0.667,-0.649,-0.652,-0.656,-0.667,-0.617,-0.688,-0.644,-0.608,-0.678,-0.628,-0.696,-0.753,NoTouching
-0.684,-0.695,-0.678,-0.736,-0.665,-0.654,-0.653,-0.679,-0.731,-0.749,-0.702,-0.584,-0.650,-0.771,-0.658,-0.661,NoTouching
-0.716,-0.620,-0.687,-0.757,-0.722,-0.684,-0.705,-0.699,-0.681,-0.690,-0.695,-0.684,-0.763,-0.674,-0.678,-0.738,NoTouching
-0.751,-0.732,-0.688,-0.680,-0.703,-0.720,-0.714,-0.732,-0.724,-0.704,-0.690,-0.681,-0.703,-0.759,-0.702,-0.635,NoTouching
