f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,class
0.285,0.382,0.157,-0.326,-0.462,-0.521,-0.720,-0.880,-0.949,-0.900,-0.902,-0.959,-0.944,-0.961,-0.922,-0.956,NearMiss
0.296,0.280,0.284,0.351,0.224,-0.134,-0.363,-0.539,-0.645,-0.786,-0.913,-0.940,-0.951,-0.957,-0.943,-0.926,NearMiss
0.211,0.231,-0.081,-0.326,-0.522,-0.630,-0.718,-0.898,-0.952,-0.948,-0.873,-0.905,-0.957,-0.930,-0.936,-0.871,NearMiss
0.313,0.321,0.455,-0.082,-0.315,-0.367,-0.585,-0.888,-0.978,-0.845,-0.892,-0.595,-0.432,-0.370,-0.206,0.002,NearMiss
0.249,0.234,0.242,0.272,0.315,-0.032,-0.473,-0.649,-0.761,-0.784,-0.727,-0.787,-0.978,-0.986,-0.931,-0.934,NearMiss
0.289,0.291,0.293,0.301,0.412,-0.004,-0.335,-0.439,-0.581,-0.741,-0.793,-0.773,-0.833,-0.916,-0.922,-0.895,NearMiss
0.322,0.325,0.401,0.563,-0.075,-0.400,-0.541,-0.685,-0.771,-0.693,-0.862,-0.858,-0.840,-0.854,-0.775,-0.815,NearMiss
0.322,0.327,0.326,0.331,0.429,0.115,-0.217,-0.346,-0.442,-0.652,-0.802,-0.898,-0.886,-0.810,-0.840,-0.883,NearMiss
0.299,0.307,0.548,0.338,-0.204,-0.410,-0.556,-0.799,-0.963,-1.009,-0.990,-0.951,-0.858,-0.787,-0.788,-0.708,NearMiss
0.321,0.333,0.425,0.187,-0.182,-0.367,-0.508,-0.691,-0.720,-0.757,-0.868,-0.878,-0.893,-0.943,-0.960,-0.955,NearMiss
0.078,0.068,0.053,0.011,-0.172,-0.556,-0.678,-0.627,-0.649,-0.752,-0.887,-0.815,-0.892,-0.868,-0.870,-0.917,NearMiss
0.250,0.244,0.268,0.165,-0.126,-0.325,-0.440,-0.571,-0.661,-0.730,-0.786,-0.873,-0.936,-0.901,-0.863,-0.849,NearMiss
0.291,0.274,0.316,0.458,-0.035,-0.322,-0.478,-0.555,-0.770,-0.873,-0.893,-0.808,-0.898,-0.936,-0.866,-0.921,NearMiss
0.267,0.267,0.204,-0.021,-0.261,-0.455,-0.611,-0.722,-0.823,-0.872,-0.876,-0.858,-0.862,-0.870,-0.863,-0.872,NearMiss
0.226,0.256,0.220,-0.177,-0.435,-0.450,-0.457,-0.729,-0.848,-0.895,-0.809,-0.882,-0.691,-0.509,-0.457,-0.384,NearMiss
0.147,0.100,0.090,-0.057,-0.431,-0.700,-0.698,-0.641,-0.769,-0.879,-0.886,-0.891,-0.830,-0.821,-0.673,-0.647,NearMiss
0.303,0.280,0.389,0.256,-0.259,-0.491,-0.566,-0.641,-0.793,-0.925,-0.946,-0.931,-0.951,-0.954,-0.986,-1.008,NearMiss
0.261,0.258,0.278,0.423,0.182,-0.178,-0.546,-0.791,-0.856,-0.851,-0.551,-0.261,-0.376,-0.618,-0.635,-0.629,NearMiss
0.072,0.038,0.072,-0.033,-0.400,-0.630,-0.646,-0.687,-0.796,-0.909,-0.932,-0.864,-0.886,-0.891,-0.884,-0.914,NearMiss
0.239,0.235,0.241,0.113,-0.104,-0.321,-0.489,-0.618,-0.722,-0.791,-0.836,-0.872,-0.895,-0.886,-0.884,-0.865,NearMiss
0.259,0.253,0.361,0.173,-0.251,-0.472,-0.595,-0.709,-0.872,-0.953,-0.875,-0.951,-0.908,-0.693,-0.614,-0.499,NearMiss
0.233,0.224,0.254,0.138,-0.146,-0.356,-0.533,-0.657,-0.755,-0.823,-0.874,-0.918,-0.935,-0.911,-0.873,-0.828,NearMiss
0.306,0.296,0.310,0.332,0.120,-0.085,-0.303,-0.510,-0.666,-0.835,-0.919,-0.935,-0.908,-0.874,-0.888,-0.873,NearMiss
0.172,0.168,0.165,0.167,-0.007,-0.303,-0.491,-0.545,-0.571,-0.618,-0.672,-0.853,-0.779,-0.747,-0.760,-0.768,NearMiss
0.321,0.374,0.304,0.334,0.352,0.451,0.637,0.566,0.227,-0.163,-0.423,-0.512,-0.598,-0.706,-0.769,-0.761,NearMiss
0.223,0.218,0.225,0.214,0.223,0.331,0.561,0.585,0.287,0.310,0.046,-0.221,-0.327,-0.494,-0.621,0.223,NearMiss
0.226,0.162,-0.120,-0.414,-0.448,-0.530,-0.593,-0.860,-0.775,-0.804,-0.912,-0.859,-0.738,-0.653,-0.750,-0.812,NearMiss
0.491,0.477,0.529,0.337,-0.105,-0.294,-0.530,-0.678,-0.685,-0.758,-0.863,-0.956,-0.844,-0.842,-0.928,-0.936,NearMiss
0.410,0.404,0.427,0.491,0.212,-0.137,-0.368,-0.466,-0.568,-0.875,-1.028,-0.912,-0.808,-0.903,-0.948,-0.925,NearMiss
0.079,0.038,0.017,-0.203,-0.483,-0.575,-0.601,-0.709,-0.813,-0.851,-0.855,-0.835,-0.860,-0.874,-0.851,-0.817,NearMiss
0.207,0.203,0.200,0.190,0.042,-0.162,-0.382,-0.454,-0.655,-0.726,-0.674,-0.474,-0.878,-1.022,-0.554,-0.889,NearMiss
0.635,0.622,0.648,0.825,0.455,-0.099,-0.396,-0.561,-0.689,-0.741,-0.699,-0.813,-0.909,-0.870,-0.862,-0.886,NearMiss
0.310,0.276,0.208,-0.137,-0.537,-0.725,-0.652,-0.702,-0.814,-0.847,-0.805,-0.870,-0.893,-0.897,-0.880,-0.925,NearMiss
0.291,0.292,0.334,0.222,-0.137,-0.451,-0.572,-0.693,-0.863,-0.910,-0.908,-0.958,-0.996,-0.994,-0.977,-0.995,NearMiss
0.316,0.266,-0.144,-0.374,-0.358,-0.495,-0.566,-0.816,-0.783,-0.767,-0.984,-0.858,-0.762,-0.799,-0.796,-0.796,NearMiss
0.218,0.229,0.202,0.042,-0.351,-0.437,-0.449,-0.525,-0.760,-0.849,-0.864,-0.791,-0.831,-0.899,-0.884,-0.826,NearMiss
0.309,0.308,0.317,0.348,0.326,0.019,-0.230,-0.319,-0.328,-0.436,-0.503,-0.600,-0.642,-0.520,-0.529,-0.455,NearMiss
0.566,0.550,0.599,0.664,0.194,-0.316,-0.470,-0.592,-0.602,-0.663,-0.835,-0.894,-0.919,-0.931,-0.944,-0.947,NearMiss
0.235,0.215,0.257,0.278,0.095,-0.247,-0.482,-0.601,-0.676,-0.740,-0.837,-0.817,-0.816,-0.790,-0.797,-0.798,NearMiss
0.322,0.361,0.373,-0.065,-0.390,-0.460,-0.651,-0.710,-0.831,-0.917,-0.943,-0.909,-0.912,-0.962,-0.968,-0.888,NearMiss
0.228,0.185,-0.050,-0.411,-0.447,-0.408,-0.696,-0.926,-0.804,-1.008,-0.987,-0.847,-0.859,-0.656,-0.449,-0.460,NearMiss
0.329,0.326,0.232,-0.089,-0.356,-0.476,-0.550,-0.661,-0.784,-0.817,-0.814,-0.802,-0.811,-0.817,-0.815,-0.816,NearMiss
0.330,0.302,0.202,-0.224,-0.495,-0.600,-0.567,-0.579,-0.920,-1.024,-1.011,-0.979,-0.906,-0.870,-0.905,-1.027,NearMiss
0.473,0.479,0.460,0.342,-0.126,-0.397,-0.532,-0.604,-0.771,-0.868,-0.865,-0.847,-0.863,-0.846,-0.820,-0.786,NearMiss
