f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,class
-0.016,-0.014,-0.008,0.008,0.025,-0.120,-0.511,-0.771,-0.727,-0.680,-0.820,-0.920,-0.921,-0.862,-0.852,-0.850,-0.817,-0.694,-0.461,0.850,0.992,0.997,1.001,1.074,1.237,1.084,1.052,82.602,0.543,0.219,0.403,0.548,0.197,0.197,0.000,0.043,1.670,Touching
-0.007,0.009,-0.014,-0.051,-0.315,-0.565,-0.561,-0.566,-0.670,-0.805,-0.878,-0.870,-0.904,-0.783,-0.704,-0.672,-0.555,-0.448,-0.280,0.485,0.994,1.030,1.058,1.174,1.156,1.172,0.901,25.702,0.169,0.207,1.227,0.152,0.176,0.175,6.000,0.142,1.930,Touching
0.011,0.011,0.009,0.020,-0.001,-0.135,-0.546,-0.737,-0.718,-0.680,-0.778,-0.804,-0.798,-0.798,-0.749,-0.732,-0.703,-0.719,-0.673,0.483,0.983,0.998,1.017,1.018,1.259,1.208,1.187,10.774,0.071,0.399,5.622,0.082,0.366,0.365,1.000,-0.077,1.400,Touching
0.008,0.002,0.007,0.020,0.028,-0.010,-0.280,-0.622,-0.723,-0.736,-0.714,-0.645,-0.833,-0.990,-0.743,-0.794,-0.758,-0.742,-0.673,-0.571,0.983,0.990,1.002,1.007,1.112,1.280,1.134,49.189,0.321,0.256,0.797,0.392,0.229,0.224,8.000,0.010,1.761,Touching
0.002,-0.016,0.001,0.046,-0.016,-0.273,-0.613,-0.669,-0.664,-0.628,-0.633,-0.796,-0.876,-0.729,-0.832,-0.770,-0.774,-0.743,-0.628,0.888,0.989,0.989,1.014,1.080,1.268,1.307,1.290,25.239,0.166,0.405,2.442,0.144,0.350,0.350,2.000,0.495,2.201,Touching
-0.010,-0.005,-0.006,0.004,-0.035,-0.116,-0.460,-0.647,-0.638,-0.581,-0.575,-0.815,-0.986,-0.973,-0.912,-0.812,-0.814,-0.858,-0.920,0.587,0.990,0.995,1.000,1.030,1.193,1.301,1.139,61.462,0.404,0.169,0.418,0.402,0.132,0.132,0.000,0.306,3.273,Touching
-0.039,-0.044,-0.040,-0.043,-0.039,-0.034,-0.052,-0.197,-0.463,-0.478,-0.496,-0.669,-0.821,-0.965,-0.921,-0.849,-0.868,-0.882,-0.853,0.224,0.986,0.986,0.990,0.984,0.995,1.042,1.198,41.024,0.270,0.139,0.514,0.236,0.106,0.104,2.000,0.616,3.425,Touching
-0.006,-0.014,-0.023,-0.007,-0.062,-0.251,-0.642,-0.744,-0.662,-0.653,-0.743,-0.939,-0.913,-0.925,-0.949,-0.885,-0.946,-0.899,-0.886,0.600,0.996,0.993,0.990,1.027,1.099,1.145,1.262,60.696,0.402,0.206,0.512,0.345,0.158,0.149,0.000,1.203,3.688,Touching
-0.020,-0.016,-0.025,-0.011,-0.047,-0.155,-0.512,-0.664,-0.735,-0.694,-0.730,-0.856,-0.878,-0.885,-0.983,-0.950,-0.829,-0.722,-0.892,0.476,0.999,0.991,1.002,1.023,1.102,0.962,1.003,65.050,0.428,0.174,0.406,0.433,0.126,0.126,0.000,0.719,3.788,Touching
-0.014,-0.010,-0.012,-0.025,-0.051,-0.033,-0.044,-0.097,-0.443,-0.715,-0.740,-0.697,-0.696,-0.638,-0.811,-0.873,-0.882,-0.774,-0.788,0.195,0.999,0.991,1.001,0.997,0.980,1.019,1.092,40.124,0.264,0.192,0.726,0.210,0.135,0.122,2.000,1.498,4.545,Touching
-0.009,0.019,-0.021,0.004,-0.047,-0.210,-0.511,-0.640,-0.673,-0.670,-0.752,-0.843,-0.861,-0.908,-0.913,-0.877,-0.885,-0.896,-0.906,0.906,0.999,0.995,0.998,1.058,1.115,1.093,1.008,88.094,0.580,0.186,0.321,0.658,0.168,0.161,0.000,0.038,1.832,Touching
-0.102,-0.101,-0.110,-0.103,-0.109,-0.120,-0.120,-0.093,-0.026,-0.350,-0.693,-0.841,-0.790,-0.640,-0.672,-0.855,-0.973,-0.929,-1.000,0.679,0.985,0.994,0.986,0.999,0.996,0.981,0.999,94.973,0.629,0.220,0.350,0.700,0.185,0.168,0.000,-0.188,2.066,Touching
-0.052,-0.059,-0.059,-0.053,-0.050,-0.040,-0.084,-0.201,-0.418,-0.630,-0.757,-0.755,-0.683,-0.643,-0.639,-0.644,-0.669,-0.676,-0.666,0.841,0.998,0.991,0.991,0.989,0.997,1.062,1.129,63.587,0.418,0.497,1.189,0.647,0.477,0.467,1.000,-0.166,1.221,Touching
-0.021,-0.021,-0.018,-0.022,-0.020,-0.020,-0.038,-0.287,-0.603,-0.636,-0.600,-0.562,-0.723,-0.874,-0.860,-0.785,-0.764,-0.683,-0.535,0.831,0.987,0.996,0.988,0.999,1.000,1.030,1.186,104.236,0.690,0.214,0.309,0.749,0.189,0.185,0.000,-0.179,1.736,Touching
