f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,class
-0.007,0.631,-0.763,0.024,0.626,-0.841,-0.111,0.872,-0.717,-0.751,0.882,-0.324,-0.730,0.302,-0.092,-0.647,0.155,-0.253,-0.971,-0.113,-0.447,-0.640,0.176,-0.316,-0.817,-0.079,-0.369,-0.729,0.467,-0.537,-79.488,58.507,-69.732,-0.526,0.387,-0.462,0.369,0.384,0.281,-0.701,0.992,-0.609,Touching
-0.027,0.257,-0.955,-0.035,0.272,-0.964,-0.017,0.229,-0.999,-0.162,0.456,-0.848,-0.679,0.562,-0.621,-0.822,0.235,-0.395,-0.793,0.052,-0.334,-0.908,0.233,-0.230,-0.915,0.369,-0.325,-0.860,0.364,-0.299,-75.726,45.185,-92.833,-0.501,0.299,-0.615,0.390,0.154,0.304,-0.778,0.514,-0.494,Touching
-0.059,-0.077,-0.979,-0.039,0.008,-1.011,-0.339,0.454,-0.833,-0.698,0.888,-0.341,-0.589,0.763,-0.165,-0.662,0.479,-0.036,-0.893,0.420,0.050,-0.878,0.484,0.017,-0.805,0.534,-0.034,-0.666,0.596,-0.186,-84.052,67.453,-54.633,-0.557,0.447,-0.362,0.314,0.303,0.417,-0.565,0.679,-1.153,Touching
-0.034,0.065,-0.982,-0.018,0.160,-1.015,-0.288,0.562,-0.915,-0.804,0.807,-0.390,-0.634,0.264,-0.323,-0.706,0.283,-0.314,-0.939,0.245,-0.305,-0.867,0.424,-0.171,-0.836,0.422,-0.224,-1.012,0.203,-0.267,-89.099,53.135,-76.076,-0.590,0.352,-0.504,0.355,0.241,0.331,-0.601,0.686,-0.656,Touching
-0.031,0.121,-0.987,-0.004,0.198,-1.024,-0.403,0.588,-0.704,-0.762,0.910,-0.238,-0.510,0.647,-0.095,-0.801,0.425,0.008,-0.817,0.551,0.008,-0.707,0.648,-0.140,-0.573,0.718,-0.269,-0.441,0.404,-0.604,-77.258,80.133,-59.896,-0.508,0.527,-0.394,0.300,0.247,0.392,-0.591,0.468,-0.996,Touching
-0.012,0.595,-0.799,0.006,0.597,-0.837,-0.042,0.649,-0.902,-0.628,0.807,-0.721,-0.618,0.010,-0.369,-0.770,-0.316,-0.320,-0.844,-0.184,-0.351,-0.864,-0.207,-0.291,-0.941,-0.091,-0.260,-0.982,-0.019,-0.320,-84.230,29.609,-80.486,-0.551,0.194,-0.526,0.382,0.424,0.259,-0.693,2.189,-0.492,Touching
-0.034,0.725,-0.686,-0.004,0.758,-0.723,-0.097,0.813,-0.956,-0.603,0.477,-0.691,-0.658,-0.032,-0.444,-0.769,-0.255,-0.467,-0.836,-0.305,-0.385,-0.831,-0.327,-0.301,-0.772,-0.353,-0.374,-0.785,-0.383,-0.385,-79.950,20.969,-83.500,-0.526,0.138,-0.549,0.340,0.495,0.207,-0.646,3.587,-0.377,Touching
-0.010,0.546,-0.832,-0.006,0.534,-0.834,0.009,0.540,-0.988,-0.223,0.539,-1.065,-0.557,0.196,-0.596,-0.631,-0.231,-0.470,-0.780,-0.186,-0.338,-0.933,-0.057,-0.334,-0.939,0.023,-0.294,-1.006,0.027,-0.225,-73.150,30.661,-93.807,-0.481,0.202,-0.617,0.394,0.320,0.298,-0.819,1.588,-0.483,Touching
0.014,0.305,-0.939,0.020,0.326,-0.962,-0.001,0.395,-0.965,-0.405,0.652,-0.664,-0.742,0.696,-0.308,-0.769,0.413,-0.157,-0.813,0.219,-0.137,-0.997,0.214,-0.296,-0.914,0.184,-0.171,-0.957,0.199,-0.201,-80.409,55.861,-74.986,-0.533,0.370,-0.497,0.406,0.186,0.351,-0.762,0.503,-0.706,Touching
0.015,0.195,-0.976,0.004,0.191,-0.978,-0.012,0.240,-1.016,-0.302,0.503,-0.820,-0.732,0.772,-0.329,-0.684,0.566,-0.092,-0.795,0.317,-0.038,-0.924,0.345,0.034,-0.845,0.479,-0.073,-0.793,0.515,-0.129,-74.733,61.839,-69.660,-0.492,0.407,-0.458,0.379,0.195,0.436,-0.771,0.478,-0.951,Touching
-0.016,0.188,-0.969,-0.004,0.226,-0.991,-0.016,0.212,-1.082,-0.431,0.277,-1.084,-0.658,-0.014,-0.418,-0.718,-0.350,-0.211,-0.877,-0.226,-0.352,-0.920,-0.114,-0.357,-0.877,-0.177,-0.362,-0.844,-0.160,-0.404,-79.029,-0.933,-96.430,-0.520,-0.006,-0.634,0.375,0.224,0.352,-0.722,-36.453,-0.555,Touching
-0.042,0.773,-0.626,-0.029,0.795,-0.678,-0.155,0.876,-0.704,-0.630,0.592,-0.454,-0.720,0.003,-0.360,-0.902,0.161,-0.423,-0.886,0.117,-0.363,-0.827,0.088,-0.423,-0.692,0.386,-0.520,-0.439,0.486,-0.593,-81.632,64.561,-77.546,-0.537,0.425,-0.510,0.341,0.328,0.133,-0.634,0.773,-0.261,Touching
-0.016,0.477,-0.861,0.009,0.576,-0.865,-0.264,0.809,-0.836,-0.683,0.825,-0.255,-0.591,0.328,-0.122,-0.833,0.267,-0.200,-0.886,0.313,-0.197,-0.748,0.367,-0.264,-0.615,0.482,-0.367,-0.395,0.604,-0.800,-76.786,75.302,-69.092,-0.509,0.499,-0.458,0.327,0.210,0.317,-0.643,0.421,-0.693,Touching
-0.015,0.715,-0.691,-0.000,0.738,-0.729,-0.048,0.867,-0.763,-0.641,0.703,-0.321,-0.704,0.304,-0.197,-0.870,0.379,-0.141,-0.891,0.258,-0.130,-0.851,0.378,-0.179,-0.755,0.512,-0.197,-0.461,0.619,-0.666,-80.103,82.602,-58.882,-0.527,0.543,-0.387,0.366,0.219,0.273,-0.695,0.403,-0.704,Touching
0.001,0.376,-0.939,-0.032,0.412,-1.036,-0.440,0.489,-0.951,-0.564,0.175,-0.614,-0.738,-0.068,-0.364,-0.874,-0.026,-0.410,-0.844,-0.081,-0.346,-0.688,0.076,-0.595,-0.501,0.147,-0.771,-0.280,0.214,-0.937,-77.119,25.702,-103.905,-0.507,0.169,-0.684,0.307,0.207,0.260,-0.606,1.227,-0.380,Touching
0.011,0.449,-0.882,0.014,0.493,-0.889,-0.068,0.542,-1.103,-0.641,0.474,-0.776,-0.699,0.125,-0.427,-0.791,-0.105,-0.450,-0.798,-0.219,-0.459,-0.740,-0.384,-0.382,-0.711,-0.456,-0.385,-0.673,-0.494,-0.325,-76.149,10.774,-94.643,-0.501,0.071,-0.623,0.339,0.399,0.267,-0.677,5.622,-0.430,Touching
0.005,0.431,-0.887,0.013,0.480,-0.882,0.009,0.536,-1.069,-0.451,0.712,-0.765,-0.730,0.371,-0.267,-0.679,-0.006,-0.271,-0.911,0.086,-0.343,-0.769,0.060,-0.364,-0.750,0.125,-0.265,-0.662,0.496,-0.393,-74.159,49.189,-85.350,-0.485,0.321,-0.558,0.362,0.256,0.317,-0.746,0.797,-0.568,Touching
-0.007,0.338,-0.929,0.023,0.374,-0.977,-0.145,0.779,-0.998,-0.641,0.759,-0.402,-0.646,-0.113,-0.174,-0.715,-0.178,-0.459,-0.803,-0.172,-0.420,-0.801,-0.288,-0.387,-0.759,-0.076,-0.272,-0.628,0.311,-0.476,-76.905,25.239,-84.098,-0.506,0.166,-0.553,0.331,0.405,0.312,-0.654,2.442,-0.564,Touching
-0.008,0.360,-0.925,-0.001,0.352,-0.951,-0.076,0.529,-1.125,-0.554,0.686,-0.592,-0.609,0.260,-0.243,-0.695,0.414,-0.323,-0.979,0.165,-0.274,-0.862,0.453,-0.160,-0.836,0.479,-0.128,-0.920,0.285,-0.142,-81.285,61.462,-76.662,-0.535,0.404,-0.504,0.372,0.169,0.373,-0.696,0.418,-0.739,Touching
-0.042,0.204,-0.963,-0.042,0.208,-0.963,-0.037,0.222,-0.993,-0.125,0.381,-1.222,-0.471,0.487,-0.727,-0.583,0.092,-0.283,-0.893,0.147,-0.416,-0.885,0.306,-0.354,-0.875,0.320,-0.220,-0.853,0.393,-0.169,-70.054,41.024,-99.633,-0.461,0.270,-0.655,0.371,0.139,0.371,-0.804,0.514,-0.565,Touching
-0.010,0.223,-0.969,-0.015,0.189,-0.990,-0.157,0.451,-0.999,-0.693,0.859,-0.373,-0.658,0.563,-0.073,-0.841,0.360,-0.063,-0.919,0.281,-0.007,-0.917,0.367,-0.046,-0.922,0.347,-0.023,-0.886,0.349,-0.020,-88.323,60.696,-56.837,-0.585,0.402,-0.376,0.376,0.206,0.444,-0.643,0.512,-1.179,Touching
-0.018,0.197,-0.975,-0.018,0.208,-0.991,-0.101,0.386,-0.941,-0.588,0.750,-0.378,-0.714,0.596,-0.093,-0.793,0.465,0.093,-0.882,0.469,0.188,-0.967,0.428,0.256,-0.775,0.366,0.183,-0.892,0.401,0.216,-84.839,65.050,-40.812,-0.558,0.428,-0.268,0.367,0.174,0.513,-0.657,0.406,-1.912,Touching
-0.012,0.231,-0.967,-0.018,0.233,-0.971,-0.042,0.190,-0.981,-0.071,0.340,-1.030,-0.579,0.728,-0.737,-0.718,0.300,-0.303,-0.667,0.103,-0.384,-0.842,0.187,-0.436,-0.828,0.127,-0.351,-0.788,0.137,-0.415,-66.735,40.124,-101.860,-0.439,0.264,-0.670,0.358,0.192,0.303,-0.815,0.726,-0.451,Touching
0.005,0.676,-0.732,-0.008,0.694,-0.758,-0.128,0.842,-0.686,-0.575,0.760,-0.243,-0.671,0.667,-0.053,-0.797,0.585,0.026,-0.884,0.373,0.004,-0.895,0.381,-0.086,-0.891,0.362,0.019,-0.906,0.328,0.001,-84.779,88.094,-40.115,-0.558,0.580,-0.264,0.368,0.186,0.329,-0.660,0.321,-1.248,Touching
-0.102,0.709,-0.683,-0.106,0.705,-0.690,-0.114,0.695,-0.694,-0.107,0.734,-0.702,-0.188,0.799,-0.516,-0.767,0.956,-0.154,-0.715,0.543,-0.109,-0.764,0.337,-0.096,-0.951,0.325,-0.077,-1.000,0.309,0.038,-68.013,94.973,-59.275,-0.450,0.629,-0.393,0.364,0.220,0.294,-0.809,0.350,-0.749,Touching
-0.055,0.858,-0.498,-0.056,0.846,-0.511,-0.045,0.846,-0.584,-0.142,0.993,-0.600,-0.524,0.810,-0.418,-0.756,0.187,-0.442,-0.663,-0.146,-0.510,-0.641,-0.186,-0.597,-0.673,-0.167,-0.657,-0.666,-0.136,-0.683,-62.230,63.587,-82.528,-0.409,0.418,-0.543,0.296,0.497,0.094,-0.723,1.189,-0.173,Touching
-0.021,0.818,-0.560,-0.020,0.815,-0.568,-0.020,0.821,-0.597,-0.163,0.975,-0.593,-0.620,0.902,-0.194,-0.581,0.508,-0.096,-0.798,0.384,-0.121,-0.823,0.415,-0.154,-0.723,0.564,-0.162,-0.535,0.714,-0.339,-64.036,104.236,-51.097,-0.424,0.690,-0.338,0.334,0.214,0.220,-0.787,0.309,-0.650,Touching
-0.030,0.764,-0.630,-0.024,0.764,-0.637,-0.015,0.862,-0.783,-0.389,0.820,-0.608,-0.714,0.288,-0.275,-0.778,0.066,-0.289,-0.945,0.238,-0.306,-0.828,0.104,-0.340,-0.742,0.338,-0.339,-0.475,0.523,-0.545,-75.256,72.099,-71.659,-0.495,0.474,-0.471,0.362,0.311,0.190,-0.731,0.656,-0.404,Touching
-0.026,0.609,-0.782,-0.025,0.606,-0.782,-0.025,0.606,-0.783,0.018,0.657,-0.864,-0.051,0.608,-1.054,-0.649,0.470,-0.659,-0.855,-0.180,-0.203,-0.713,-0.441,-0.326,-0.659,-0.564,-0.411,-0.552,-0.603,-0.410,-52.164,33.097,-97.082,-0.343,0.218,-0.639,0.352,0.508,0.272,-1.027,2.335,-0.426,Touching
-0.014,0.734,-0.664,-0.014,0.734,-0.668,-0.013,0.720,-0.689,-0.015,0.694,-0.739,-0.040,0.657,-0.804,-0.465,0.704,-0.627,-0.721,0.489,-0.382,-0.787,0.210,-0.334,-0.890,0.263,-0.246,-0.961,0.332,-0.157,-55.024,85.912,-83.697,-0.362,0.565,-0.551,0.383,0.205,0.209,-1.059,0.362,-0.380,Touching
-0.018,0.590,-0.793,-0.017,0.590,-0.798,0.012,0.664,-0.886,-0.221,0.714,-0.865,-0.649,0.508,-0.571,-0.618,-0.102,-0.373,-0.697,0.044,-0.494,-0.854,0.103,-0.513,-0.968,0.058,-0.529,-0.894,0.076,-0.427,-70.740,51.245,-96.160,-0.468,0.339,-0.637,0.375,0.318,0.191,-0.801,0.936,-0.300,Touching
-0.016,0.566,-0.807,-0.017,0.579,-0.809,-0.006,0.562,-0.832,-0.012,0.645,-0.848,-0.471,0.819,-0.574,-0.721,0.555,-0.224,-0.687,0.392,-0.170,-0.969,0.408,-0.028,-0.965,0.326,-0.007,-0.796,0.489,-0.076,-68.193,81.550,-69.397,-0.449,0.537,-0.457,0.402,0.157,0.354,-0.896,0.293,-0.776,Touching
0.032,0.515,-0.846,0.032,0.565,-0.831,0.041,0.505,-0.885,-0.003,0.598,-0.951,-0.409,0.700,-0.798,-0.533,0.374,-0.471,-0.669,0.200,-0.451,-0.773,0.221,-0.541,-0.814,0.211,-0.538,-0.830,0.200,-0.472,-56.181,63.828,-104.773,-0.370,0.420,-0.689,0.362,0.192,0.202,-0.980,0.458,-0.293,Touching
0.023,0.451,-0.883,0.038,0.505,-0.921,-0.152,0.683,-1.070,-0.445,0.388,-0.599,-0.492,0.129,-0.532,-0.697,0.220,-0.684,-0.726,0.301,-0.656,-0.704,0.248,-0.614,-0.709,0.221,-0.616,-0.693,0.272,-0.671,-67.362,52.524,-110.582,-0.443,0.346,-0.728,0.304,0.174,0.180,-0.687,0.505,-0.247,Touching
0.011,0.551,-0.823,0.013,0.580,-0.806,0.018,0.555,-0.826,0.036,0.562,-0.890,-0.248,0.638,-0.841,-0.603,0.785,-0.385,-0.549,0.600,-0.225,-0.732,0.492,-0.107,-0.839,0.570,-0.027,-0.717,0.624,-0.122,-52.018,90.306,-79.860,-0.342,0.594,-0.525,0.348,0.091,0.347,-1.016,0.153,-0.660,Touching
0.004,0.387,-0.911,0.013,0.443,-0.913,-0.072,0.642,-0.944,-0.584,0.772,-0.381,-0.676,0.489,-0.127,-0.724,0.556,-0.038,-1.077,0.177,-0.053,-0.819,0.263,0.143,-0.994,0.360,-0.019,-1.073,0.355,-0.042,-87.457,68.264,-52.198,-0.575,0.449,-0.343,0.417,0.195,0.421,-0.724,0.435,-1.227,Touching
0.020,0.509,-0.855,0.024,0.537,-0.841,0.009,0.488,-1.000,-0.165,0.327,-1.197,-0.403,0.035,-0.588,-0.524,-0.462,-0.485,-0.719,-0.377,-0.597,-0.777,-0.293,-0.519,-0.829,-0.180,-0.527,-0.823,-0.192,-0.521,-60.395,7.809,-109.926,-0.397,0.051,-0.723,0.346,0.386,0.250,-0.871,7.507,-0.346,Touching
0.031,0.464,-0.873,0.031,0.517,-0.865,0.042,0.481,-0.964,-0.127,0.610,-0.918,-0.568,0.488,-0.478,-0.787,-0.022,-0.385,-0.885,0.163,-0.461,-0.845,0.109,-0.462,-0.745,0.117,-0.466,-0.508,0.345,-0.513,-65.709,49.581,-98.056,-0.432,0.326,-0.645,0.385,0.230,0.233,-0.890,0.705,-0.362,Touching
0.038,0.378,-0.915,0.051,0.429,-0.949,-0.098,0.635,-1.074,-0.503,0.614,-0.572,-0.699,0.259,-0.349,-0.613,0.357,-0.339,-0.931,0.398,-0.284,-0.837,0.352,-0.344,-0.722,0.291,-0.314,-0.624,0.357,-0.269,-74.652,62.608,-84.648,-0.488,0.409,-0.553,0.368,0.157,0.337,-0.754,0.384,-0.610,Touching
0.019,0.385,-0.913,0.019,0.417,-0.901,0.020,0.398,-0.905,0.020,0.395,-0.907,0.018,0.387,-0.911,0.026,0.376,-0.922,0.016,0.547,-1.040,-0.317,0.640,-0.917,-0.568,0.457,-0.366,-0.624,0.193,-0.308,-16.915,65.570,-126.980,-0.111,0.431,-0.835,0.234,0.121,0.224,-2.105,0.281,-0.268,Touching
0.035,0.427,-0.893,0.012,0.444,-0.905,-0.067,0.654,-0.948,-0.531,0.702,-0.430,-0.689,0.584,-0.062,-0.712,0.570,-0.058,-0.937,0.465,0.114,-0.778,0.421,-0.025,-0.696,0.795,-0.083,-0.606,0.700,-0.280,-74.648,86.594,-54.893,-0.491,0.570,-0.361,0.351,0.149,0.411,-0.715,0.261,-1.139,Touching
0.018,0.416,-0.913,-0.031,0.782,-0.895,-0.607,0.833,-0.355,-0.572,0.393,-0.178,-0.724,0.526,-0.143,-0.929,0.349,-0.171,-0.943,0.364,-0.068,-0.864,0.480,-0.031,-0.827,0.510,-0.021,-0.862,0.433,-0.073,-94.543,77.926,-44.967,-0.622,0.513,-0.296,0.348,0.196,0.335,-0.560,0.383,-1.133,Touching
0.013,0.309,-0.940,0.032,0.314,-0.977,0.002,0.495,-0.972,-0.556,0.751,-0.516,-0.716,0.327,-0.283,-0.821,0.284,-0.268,-0.933,0.347,-0.161,-0.884,0.329,-0.228,-0.828,0.395,-0.297,-0.671,0.460,-0.385,-80.400,60.489,-77.349,-0.529,0.398,-0.509,0.389,0.158,0.328,-0.735,0.397,-0.645,Touching
-0.018,0.116,-0.985,-0.010,0.099,-0.995,-0.017,0.134,-1.084,-0.391,0.309,-0.991,-0.762,0.084,-0.491,-0.730,-0.210,-0.398,-0.800,0.064,-0.438,-0.917,0.119,-0.365,-0.967,0.133,-0.348,-0.986,0.207,-0.366,-81.713,15.246,-100.455,-0.538,0.100,-0.661,0.394,0.142,0.312,-0.733,1.411,-0.472,Touching
