f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,class
0.531,1.050,0.477,0.233,1.130,0.154,0.515,1.212,0.118,0.906,0.922,-0.072,1.109,0.667,-0.207,0.424,NoTouching
0.019,-0.077,0.863,1.038,0.421,1.240,0.837,0.164,1.058,0.737,0.174,1.193,0.292,0.654,0.720,0.440,NoTouching
-0.034,1.113,-0.057,0.607,0.899,0.355,0.340,1.206,0.735,0.786,1.384,0.605,0.076,1.381,0.260,0.899,NoTouching
-0.308,1.046,0.690,-0.152,1.050,0.549,-0.167,1.140,0.548,-0.031,0.321,-0.575,-0.773,-0.500,-0.990,-0.713,NoTouching
-0.560,-1.116,-0.494,-1.148,-0.430,-0.509,-0.493,-0.319,-0.247,1.004,0.538,-0.392,1.641,0.105,0.264,1.043,NoTouching
0.699,0.408,1.311,0.370,0.554,0.524,-0.181,-0.642,-0.704,-0.979,-0.710,-0.633,-0.703,-0.077,-0.227,-1.387,NoTouching
0.093,-0.010,0.179,0.331,-0.093,-0.829,-0.893,-0.941,-0.469,-0.238,-0.278,-0.265,0.147,0.208,-0.114,-0.016,NoTouching
-0.957,-1.017,-1.000,-1.136,-0.851,-0.741,-0.847,-1.145,-0.795,-1.074,-0.826,-0.480,-0.468,-0.359,-0.426,-0.383,NoTouching
-0.892,-0.882,-0.917,-0.824,-0.688,-0.464,-0.250,-0.266,-0.276,-0.320,-0.381,-0.323,-0.335,-0.300,-0.309,-0.331,NoTouching
-0.977,-0.960,-0.922,-1.093,-1.093,-0.645,-0.761,-0.881,-0.990,-1.063,-1.270,-0.693,0.040,-0.412,-0.372,-0.149,NoTouching
-0.962,-0.967,-1.085,-1.357,-0.840,-0.235,-0.128,-0.326,-0.254,-0.232,-0.286,-0.111,-0.131,-0.249,-0.319,-0.296,NoTouching
-0.964,-0.959,-0.957,-0.939,-0.954,-1.249,-1.001,-0.638,-0.431,-0.292,-0.229,-0.320,-0.316,-0.302,-0.260,-0.349,NoTouching
-0.945,-0.943,-0.936,-0.938,-0.803,-0.614,-0.519,-0.408,-0.448,-0.558,-0.530,-0.558,-0.593,-0.615,-0.629,-0.650,NoTouching
-0.972,-0.967,-1.008,-1.367,-0.906,-0.353,-0.218,-0.261,-0.340,-0.375,-0.323,-0.369,-0.381,-0.297,-0.241,-0.194,NoTouching
-0.967,-1.080,-0.956,-0.592,-0.528,-0.725,-0.781,-0.913,-0.919,-0.739,-0.412,-0.277,-0.380,-0.359,-0.285,-0.311,NoTouching
-0.927,-0.946,-0.828,-0.424,-0.167,-0.263,-0.223,-0.144,-0.120,-0.081,-0.231,-0.301,-0.189,-0.132,-0.262,-0.417,NoTouching
-0.939,-0.945,-0.909,-0.992,-1.195,-1.161,-0.827,-0.457,-0.307,-0.149,-0.251,-0.194,-0.202,-0.216,-0.140,-0.150,NoTouching
-0.966,-1.056,-1.024,-0.741,-0.711,-0.786,-0.909,-0.904,-0.596,-0.328,-0.400,-0.400,-0.399,-0.345,-0.264,-0.246,NoTouching
-0.967,-0.998,-1.297,-1.197,-0.642,-0.322,-0.326,-0.291,-0.375,-0.360,-0.191,-0.202,-0.210,-0.206,-0.245,-0.278,NoTouching
-0.950,-1.004,-0.939,-0.691,-0.653,-0.602,-0.570,-0.627,-0.635,-0.577,-0.526,-0.511,-0.510,-0.536,-0.558,-0.557,NoTouching
-0.967,-0.965,-0.961,-0.962,-1.105,-1.206,-0.863,-0.532,-0.419,-0.518,-0.563,-0.538,-0.543,-0.578,-0.576,-0.560,NoTouching
-0.961,-0.939,-0.981,-0.946,-0.429,-0.044,-0.200,-0.153,0.047,0.025,0.021,-0.039,-0.133,-0.041,-0.015,0.037,NoTouching
-0.955,-0.940,-0.958,-0.998,-0.868,-0.590,-0.463,-0.271,-0.263,-0.280,-0.190,-0.105,-0.131,-0.217,-0.282,-0.322,NoTouching
-0.625,-0.613,-0.612,-0.596,-0.576,-0.522,-0.425,-0.382,-0.281,-0.206,-0.222,-0.273,-0.197,-0.159,-0.125,-0.143,NoTouching
-0.968,-0.982,-1.147,-1.279,-0.804,-0.283,-0.158,-0.194,-0.334,-0.337,-0.339,-0.388,-0.275,-0.261,-0.299,-0.435,NoTouching
