f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,class
0.359,0.377,-0.848,0.389,0.412,-0.894,0.288,0.701,-0.969,-0.243,0.940,-0.669,-0.511,0.467,-0.315,-0.668,0.123,-0.229,-0.820,0.222,-0.491,-0.886,0.221,-0.392,-0.849,0.287,-0.294,-0.882,0.273,-0.278,Touching
0.372,0.373,-0.888,0.382,0.505,-0.931,0.025,0.681,-1.036,-0.461,0.514,-0.820,-0.646,0.027,-0.354,-0.590,-0.212,-0.187,-0.880,-0.128,-0.463,-0.885,-0.055,-0.369,-0.922,-0.025,-0.404,-0.968,0.028,-0.476,Touching
0.439,0.289,-0.927,0.411,0.551,-1.083,-0.377,0.741,-0.651,-0.569,0.619,-0.092,-0.552,0.481,-0.104,-0.866,0.435,-0.020,-0.874,0.408,-0.044,-0.949,0.390,0.037,-0.925,0.406,-0.021,-0.846,0.384,-0.014,Touching
0.407,0.198,-0.885,0.474,0.241,-0.938,0.404,0.622,-1.075,-0.372,0.754,-0.591,-0.579,0.467,-0.152,-0.669,0.311,-0.105,-0.904,0.413,-0.134,-0.872,0.366,-0.081,-0.916,0.417,-0.031,-0.913,0.386,-0.019,Touching
0.394,0.240,-0.880,0.454,0.272,-0.924,0.383,0.613,-1.104,-0.315,0.646,-0.846,-0.490,0.132,-0.364,-0.711,-0.057,-0.265,-0.879,-0.075,-0.461,-0.892,-0.015,-0.435,-0.891,0.005,-0.438,-0.887,0.005,-0.395,Touching
0.375,0.272,-0.893,0.449,0.413,-0.975,0.120,0.765,-0.828,-0.516,0.884,-0.280,-0.635,0.541,-0.090,-0.708,0.198,-0.199,-0.866,0.209,-0.359,-0.897,0.161,-0.287,-0.912,0.216,-0.269,-0.910,0.227,-0.234,Touching
-0.219,-0.087,-0.953,-0.208,-0.073,-0.950,-0.253,0.611,-0.954,-0.669,0.646,-0.517,-0.680,-0.017,-0.327,-0.933,0.166,-0.278,-0.899,0.219,-0.265,-0.958,0.204,-0.212,-0.903,0.191,-0.244,-0.953,0.223,-0.267,Touching
-0.196,-0.139,-0.951,-0.121,0.070,-0.967,-0.590,0.931,-0.755,-0.638,0.114,-0.285,-0.838,-0.026,-0.274,-0.950,0.131,-0.301,-0.910,0.191,-0.310,-0.931,0.231,-0.242,-0.799,0.088,-0.227,-0.840,0.256,-0.303,Touching
-0.083,-0.324,-0.926,-0.035,-0.311,-1.137,-0.294,0.083,-1.260,-0.572,0.093,-0.463,-0.631,-0.058,-0.547,-0.720,0.205,-0.564,-0.703,0.234,-0.383,-0.798,0.110,-0.425,-0.877,-0.043,-0.375,-1.042,-0.091,-0.365,Touching
-0.223,-0.002,-0.956,-0.202,0.057,-0.994,-0.422,0.597,-1.005,-0.713,0.452,-0.371,-0.680,0.113,-0.301,-0.919,0.262,-0.254,-0.937,0.281,-0.215,-0.927,0.267,-0.213,-0.911,0.276,-0.233,-0.875,0.191,-0.333,Touching
-0.140,-0.159,-0.957,-0.133,-0.094,-0.959,-0.329,0.604,-1.036,-0.700,0.572,-0.356,-0.725,0.216,-0.247,-0.931,0.217,-0.108,-0.921,0.228,-0.072,-0.982,0.229,-0.050,-0.941,0.236,-0.090,-0.978,0.214,-0.055,Touching
-0.207,0.015,-0.958,-0.198,0.041,-0.947,-0.192,0.440,-1.128,-0.706,0.545,-0.658,-0.717,-0.138,-0.192,-0.805,-0.074,-0.313,-0.950,-0.066,-0.306,-0.941,-0.079,-0.263,-0.948,-0.104,-0.274,-0.940,-0.100,-0.248,Touching
