f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,class
-69.005,29.242,-46.871,-0.767,0.325,-0.521,0.010,0.008,0.013,-0.013,0.025,-0.025,0.000,0.000,0.000,-0.766,0.326,-0.523,0.007,0.006,0.011,0.007,0.006,0.010,-0.626,-0.133,0.575,3.520,3.808,2.620,No Touching
-68.773,29.302,-47.302,-0.764,0.326,-0.526,0.006,0.007,0.009,-0.009,0.022,-0.018,0.000,0.000,0.000,-0.763,0.326,-0.527,0.005,0.006,0.007,0.005,0.005,0.007,-0.347,0.265,0.597,3.412,3.514,3.389,No Touching
-68.820,29.202,-47.460,-0.765,0.324,-0.527,0.006,0.006,0.011,-0.008,0.019,-0.020,0.000,0.000,0.000,-0.765,0.325,-0.529,0.005,0.005,0.008,0.005,0.005,0.008,-0.222,-0.296,0.379,3.552,3.466,3.510,No Touching
-69.037,29.099,-47.301,-0.767,0.323,-0.526,0.009,0.007,0.013,-0.011,0.023,-0.025,0.000,0.000,0.000,-0.766,0.324,-0.528,0.007,0.006,0.010,0.007,0.006,0.010,-0.557,-0.205,0.763,3.042,3.002,3.897,No Touching
-69.817,28.689,-45.924,-0.776,0.319,-0.510,0.014,0.012,0.028,-0.017,0.039,-0.056,0.000,0.000,0.000,-0.770,0.321,-0.520,0.012,0.009,0.024,0.012,0.009,0.022,-0.383,-1.382,0.832,1.688,5.642,2.514,No Touching
-70.595,28.424,-44.875,-0.784,0.316,-0.499,0.013,0.014,0.028,-0.016,0.043,-0.056,0.000,0.000,0.000,-0.788,0.320,-0.489,0.011,0.011,0.024,0.011,0.011,0.024,0.442,-0.764,-0.073,1.777,3.480,2.014,No Touching
-71.529,28.232,-43.267,-0.795,0.314,-0.481,0.008,0.013,0.018,-0.010,0.042,-0.038,0.000,0.000,0.000,-0.795,0.315,-0.480,0.007,0.011,0.014,0.007,0.011,0.014,0.552,-0.463,-0.408,2.827,3.237,2.793,No Touching
-71.828,28.141,-42.845,-0.798,0.313,-0.476,0.006,0.012,0.012,-0.008,0.038,-0.026,0.000,0.000,0.000,-0.799,0.313,-0.478,0.005,0.010,0.010,0.005,0.010,0.009,0.116,-0.015,0.288,2.254,2.787,3.330,No Touching
-72.008,28.042,-42.899,-0.800,0.312,-0.477,0.007,0.010,0.008,-0.008,0.031,-0.017,0.000,0.000,0.000,-0.801,0.310,-0.478,0.006,0.008,0.006,0.006,0.008,0.006,0.237,0.372,0.573,2.475,2.425,2.954,No Touching
-71.914,27.986,-43.069,-0.799,0.311,-0.479,0.007,0.009,0.010,-0.009,0.029,-0.020,0.000,0.000,0.000,-0.800,0.310,-0.480,0.006,0.007,0.008,0.006,0.007,0.008,0.078,0.458,0.301,2.187,2.858,2.751,No Touching
-71.718,27.853,-43.449,-0.797,0.309,-0.483,0.008,0.008,0.009,-0.010,0.025,-0.019,0.000,0.000,0.000,-0.795,0.309,-0.483,0.006,0.006,0.007,0.006,0.006,0.007,-0.440,0.200,0.439,2.249,2.523,2.645,No Touching
-71.675,27.729,-43.619,-0.796,0.308,-0.485,0.007,0.007,0.009,-0.009,0.023,-0.019,0.000,0.000,0.000,-0.796,0.307,-0.487,0.006,0.006,0.007,0.006,0.005,0.007,-0.401,0.389,0.763,2.561,2.911,2.973,No Touching
-71.638,27.657,-43.779,-0.796,0.307,-0.486,0.006,0.006,0.007,-0.008,0.021,-0.015,0.000,0.000,0.000,-0.795,0.307,-0.487,0.005,0.005,0.006,0.005,0.005,0.006,-0.344,0.706,0.357,2.780,3.619,2.376,No Touching
-71.610,27.812,-43.647,-0.796,0.309,-0.485,0.006,0.024,0.009,-0.007,0.078,-0.019,0.000,0.000,0.000,-0.795,0.306,-0.486,0.005,0.013,0.007,0.005,0.012,0.007,-0.365,2.988,0.567,2.869,12.448,4.670,No Touching
-71.534,28.761,-43.156,-0.795,0.320,-0.480,0.006,0.030,0.013,-0.007,0.094,-0.027,0.000,0.000,0.000,-0.795,0.307,-0.482,0.005,0.024,0.010,0.005,0.022,0.010,-0.292,1.227,0.317,3.288,4.145,2.702,No Touching
-71.388,29.631,-42.891,-0.793,0.329,-0.477,0.006,0.029,0.012,-0.008,0.090,-0.026,0.000,0.000,0.000,-0.792,0.336,-0.477,0.005,0.024,0.010,0.005,0.023,0.010,-0.404,0.410,-0.092,3.571,3.262,2.884,No Touching
-71.218,30.854,-42.521,-0.791,0.343,-0.472,0.005,0.023,0.012,-0.006,0.067,-0.025,0.000,0.000,0.000,-0.792,0.343,-0.472,0.004,0.014,0.009,0.004,0.014,0.009,0.432,-0.175,-0.676,2.856,6.087,3.621,No Touching
-71.082,31.097,-42.344,-0.790,0.346,-0.470,0.006,0.008,0.010,-0.007,0.024,-0.021,0.000,0.000,0.000,-0.790,0.344,-0.471,0.004,0.007,0.008,0.004,0.006,0.008,0.492,0.986,0.036,2.940,4.407,3.089,No Touching
-70.907,31.199,-42.466,-0.788,0.347,-0.472,0.007,0.009,0.009,-0.009,0.026,-0.020,0.000,0.000,0.000,-0.789,0.346,-0.472,0.006,0.007,0.007,0.005,0.007,0.007,0.965,0.791,0.331,3.458,3.593,3.572,No Touching
-71.007,31.437,-42.292,-0.789,0.349,-0.470,0.008,0.009,0.010,-0.011,0.026,-0.022,0.000,0.000,0.000,-0.790,0.348,-0.471,0.006,0.008,0.008,0.006,0.007,0.008,0.420,0.412,0.067,3.193,2.636,2.891,No Touching
-70.970,31.495,-42.246,-0.789,0.350,-0.469,0.009,0.010,0.011,-0.012,0.027,-0.023,0.000,0.000,0.000,-0.789,0.347,-0.469,0.007,0.008,0.009,0.007,0.008,0.009,0.091,0.300,-0.059,2.479,2.158,2.589,No Touching
-70.929,31.446,-42.331,-0.788,0.349,-0.470,0.012,0.008,0.009,-0.015,0.024,-0.019,0.000,0.000,0.000,-0.788,0.348,-0.471,0.010,0.007,0.008,0.010,0.007,0.008,0.250,0.044,0.158,2.726,1.801,1.900,No Touching
-70.995,31.327,-42.366,-0.789,0.348,-0.471,0.011,0.008,0.008,-0.014,0.023,-0.017,0.000,0.000,0.000,-0.788,0.347,-0.471,0.009,0.007,0.007,0.009,0.006,0.007,0.265,0.049,0.188,3.194,2.291,2.215,No Touching
-70.806,31.175,-42.592,-0.787,0.346,-0.473,0.012,0.010,0.008,-0.016,0.029,-0.016,0.000,0.000,0.000,-0.785,0.346,-0.473,0.010,0.008,0.006,0.010,0.008,0.006,0.091,-0.373,0.371,2.655,2.691,2.337,No Touching
-71.002,31.238,-42.539,-0.789,0.347,-0.473,0.011,0.013,0.008,-0.014,0.036,-0.017,0.000,0.000,0.000,-0.789,0.348,-0.472,0.009,0.011,0.007,0.009,0.011,0.007,0.014,0.230,-0.237,2.394,3.061,3.034,No Touching
-70.840,30.933,-42.676,-0.787,0.344,-0.474,0.016,0.017,0.014,-0.021,0.050,-0.030,0.000,0.000,0.000,-0.787,0.343,-0.472,0.013,0.013,0.011,0.013,0.013,0.011,0.105,-0.459,-0.873,2.844,3.933,3.856,No Touching
-71.044,31.007,-42.346,-0.789,0.345,-0.471,0.016,0.018,0.016,-0.021,0.052,-0.034,0.000,0.000,0.000,-0.790,0.344,-0.467,0.013,0.014,0.013,0.013,0.014,0.012,0.319,-0.449,-0.952,2.741,3.692,3.434,No Touching
-71.004,30.637,-42.636,-0.789,0.340,-0.474,0.017,0.018,0.018,-0.022,0.054,-0.037,0.000,0.000,0.000,-0.791,0.341,-0.471,0.014,0.015,0.015,0.014,0.015,0.015,0.267,-0.076,-0.496,2.408,3.163,2.286,No Touching
-71.262,30.725,-42.553,-0.792,0.341,-0.473,0.016,0.014,0.016,-0.021,0.041,-0.034,0.000,0.000,0.000,-0.793,0.343,-0.471,0.013,0.012,0.014,0.013,0.012,0.014,0.287,0.094,-0.391,2.553,2.152,2.425,No Touching
-71.172,30.309,-42.730,-0.791,0.337,-0.475,0.012,0.012,0.013,-0.015,0.036,-0.027,0.000,0.000,0.000,-0.791,0.334,-0.476,0.009,0.010,0.010,0.009,0.010,0.010,0.061,0.651,0.183,2.714,3.017,2.450,No Touching
-71.139,30.048,-42.823,-0.790,0.334,-0.476,0.011,0.009,0.009,-0.014,0.027,-0.019,0.000,0.000,0.000,-0.791,0.332,-0.476,0.008,0.007,0.007,0.008,0.007,0.007,0.103,0.620,0.313,3.499,3.699,2.564,No Touching
-71.387,30.063,-42.714,-0.793,0.334,-0.475,0.008,0.007,0.008,-0.011,0.022,-0.017,0.000,0.000,0.000,-0.792,0.332,-0.475,0.006,0.006,0.006,0.006,0.005,0.006,-0.748,1.415,0.216,3.483,5.862,3.220,No Touching
-71.212,29.839,-42.942,-0.791,0.332,-0.477,0.007,0.005,0.008,-0.008,0.016,-0.018,0.000,0.000,0.000,-0.791,0.331,-0.476,0.005,0.004,0.007,0.005,0.004,0.007,-0.628,0.395,-0.363,3.195,2.548,2.833,No Touching
-71.121,29.636,-43.148,-0.790,0.329,-0.479,0.007,0.020,0.013,-0.009,0.060,-0.026,0.000,0.000,0.000,-0.789,0.331,-0.477,0.006,0.010,0.009,0.005,0.009,0.009,-0.647,-2.811,-1.885,3.268,14.720,10.665,No Touching
-70.965,28.565,-44.167,-0.788,0.317,-0.491,0.006,0.027,0.020,-0.008,0.085,-0.041,0.000,0.000,0.000,-0.788,0.329,-0.487,0.005,0.022,0.015,0.004,0.019,0.015,-0.575,-0.913,-1.224,3.595,3.705,4.670,No Touching
-70.872,27.873,-44.885,-0.787,0.310,-0.499,0.005,0.027,0.019,-0.007,0.086,-0.039,0.000,0.000,0.000,-0.788,0.308,-0.498,0.004,0.022,0.015,0.004,0.022,0.015,-0.019,-0.257,-0.551,2.994,3.252,3.652,No Touching
-70.777,26.836,-45.620,-0.786,0.298,-0.507,0.005,0.023,0.017,-0.007,0.077,-0.034,0.000,0.000,0.000,-0.786,0.295,-0.508,0.004,0.016,0.013,0.004,0.016,0.013,-0.309,0.665,-0.098,3.228,5.474,4.128,No Touching
